Unnamed: 0,NOR,WAS
First Downs,16,23
Rush-Yds-TDs,25-158-0,31-209-0
Cmp-Att-Yd-TD-INT,19-28-209-2-2,20-25-324-4-0
Sacked-Yards,2-17,3-23
Net Pass Yards,192,301
Total Yards,350,510
Fumbles-Lost,1-0,3-0
Turnovers,2,0
Penalties-Yards,7-50,5-26
Third Down Conv.,4-11,6-11
Fourth Down Conv.,0-2,0-0
Time of Possession,26:26,33:34
