Quarter,Time,Down,ToGo,Location,NOR,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Kai Forbath kicks off 65 yards, returned by Rashad Ross for 8 yards (tackle by Josh Hill). Penalty on Ryan Grant: Offensive Holding, 4 yards",0.000,0.380
1,14:48,1,10,WAS 4,0,0,"Alfred Morris right tackle for 6 yards (tackle by John Jenkins and Bobby Richardson). Penalty on Morgan Moses: Offensive Holding, 2 yards (no play)",-0.380,-0.460
1,14:25,1,12,WAS 2,0,0,Alfred Morris right tackle for 4 yards (tackle by Stephone Anthony and Jo-Lonn Dunbar),-0.460,-0.630
1,13:46,2,8,WAS 6,0,0,Kirk Cousins pass complete short middle to Alfred Morris for 4 yards (tackle by Michael Mauti),-0.630,-0.720
1,13:05,3,4,WAS 10,0,0,Kirk Cousins pass complete deep left to DeSean Jackson for 42 yards (tackle by Keenan Lewis),-0.720,2.390
1,12:24,1,10,NOR 48,0,0,Alfred Morris left guard for 12 yards (tackle by Kenny Vaccaro),2.390,3.180
1,11:47,1,10,NOR 36,0,0,Alfred Morris right end for 4 yards (tackle by Kevin Williams),3.180,3.180
1,11:09,2,6,NOR 32,0,0,Alfred Morris right tackle for 4 yards (tackle by John Jenkins and Kevin Williams),3.180,3.010
1,10:28,3,2,NOR 28,0,0,Kirk Cousins pass complete short left to Pierre Garcon for 3 yards (tackle by Kyle Wilson),3.010,3.910
1,9:50,1,10,NOR 25,0,0,Kirk Cousins pass complete short middle to Alfred Morris for 7 yards (tackle by Jo-Lonn Dunbar and Cameron Jordan),3.910,4.370
1,9:11,2,3,NOR 18,0,0,Alfred Morris middle for 2 yards (tackle by Stephone Anthony and Cameron Jordan),4.370,4.060
1,8:32,3,1,NOR 16,0,6,"Kirk Cousins pass complete short right to Jordan Reed for 16 yards, touchdown",4.060,7.000
1,8:32,,,NOR 16,0,7,Dustin Hopkins kicks extra point good,0.000,0.000
1,8:32,,,WAS 35,0,7,"Dustin Hopkins kicks off 64 yards, returned by C.J. Spiller for 16 yards (tackle by Deshazor Everett)",0.000,0.060
1,8:10,1,10,NOR 17,0,7,Drew Brees pass complete short right to Ben Watson for 8 yards (tackle by Perry Riley),-0.060,0.620
1,7:30,2,2,NOR 25,0,7,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Perry Riley),0.620,-0.240
1,7:26,3,2,NOR 25,0,7,Mark Ingram right end for 70 yards (tackle by Will Blackmon),-0.240,6.060
1,6:40,1,5,WAS 5,0,7,C.J. Spiller right guard for 1 yard (tackle by Perry Riley and Trent Murphy),6.060,5.340
1,5:56,2,4,WAS 4,6,7,"Drew Brees pass complete to Brandin Cooks for 4 yards, touchdown",5.340,7.000
1,5:56,,,WAS 4,7,7,Kai Forbath kicks extra point good,0.000,0.000
1,5:56,,,NOR 35,7,7,"Kai Forbath kicks off 66 yards, returned by Rashad Ross for 21 yards (tackle by Jamarca Sanford)",0.000,-0.280
1,5:46,1,10,WAS 20,7,7,Kirk Cousins pass complete short right to Darrel Young for -1 yards (tackle by Jo-Lonn Dunbar),0.280,-0.460
1,5:05,2,11,WAS 19,7,7,Matt Jones right end for 4 yards (tackle by Kenny Vaccaro and Michael Mauti),-0.460,-0.560
1,4:25,3,7,WAS 23,7,7,"Penalty on Hau'oli Kikaha: Neutral Zone Infraction, 5 yards (no play)",-0.560,0.100
1,4:00,3,2,WAS 28,7,7,Matt Jones left end for 20 yards (tackle by Kasim Edebali),0.100,2.130
1,3:30,1,10,WAS 48,7,7,Kirk Cousins pass complete short right to Jordan Reed for 5 yards (tackle by Jo-Lonn Dunbar),2.130,2.260
1,3:02,2,5,NOR 47,7,7,Alfred Morris middle for 6 yards (tackle by Michael Mauti and Brandon Browner),2.260,2.850
1,2:26,1,10,NOR 41,7,7,Alfred Morris middle for 1 yard (tackle by Cameron Jordan and John Jenkins),2.850,2.440
1,1:49,2,9,NOR 40,7,7,Kirk Cousins pass complete short right to Matt Jones for 29 yards (tackle by Delvin Breaux),2.440,4.840
1,1:02,1,10,NOR 11,7,13,"Kirk Cousins pass complete short middle to Jamison Crowder for 11 yards, touchdown",4.840,7.000
1,1:02,,,NOR 11,7,14,Dustin Hopkins kicks extra point good,0.000,0.000
1,1:02,,,WAS 35,7,14,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
1,0:58,1,10,NOR 20,7,14,Mark Ingram right guard for -1 yards (tackle by Terrance Knighton),0.280,-0.460
1,0:22,2,11,NOR 19,7,14,Drew Brees pass complete to C.J. Spiller for 3 yards (tackle by Ryan Kerrigan),-0.460,-0.690
Quarter,Time,Down,ToGo,Location,NOR,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,NOR 22,7,14,Drew Brees sacked by Stephen Paea for -8 yards,-0.690,-2.470
2,14:28,4,16,NOR 14,7,14,"Thomas Morstead punts 50 yards, muffed catch by Jamison Crowder, recovered by Jamison Crowder and returned for 1 yard (tackle by Brian Dixon)",-2.470,-1.400
2,14:19,1,10,WAS 37,7,14,Alfred Morris left end for no gain (tackle by Bobby Richardson),1.400,0.860
2,13:41,2,10,WAS 37,7,14,Kirk Cousins pass complete short left to Jamison Crowder for 11 yards (tackle by Stephone Anthony),0.860,2.130
2,12:23,1,10,WAS 48,7,14,Alfred Morris middle for 4 yards (tackle by John Jenkins),2.130,2.120
2,12:18,2,6,NOR 48,7,14,Kirk Cousins pass incomplete intended for DeSean Jackson (defended by Delvin Breaux),2.120,1.420
2,12:18,3,6,NOR 48,7,14,Kirk Cousins pass incomplete intended for Jamison Crowder (defended by Kyle Wilson),1.420,0.070
2,12:11,4,6,NOR 48,7,14,"Tress Way punts 31 yards, fair catch by Jairus Byrd",0.070,0.060
2,12:07,1,10,NOR 17,7,14,Mark Ingram middle for 12 yards (tackle by Bashaud Breeland),-0.060,0.870
2,11:30,1,10,NOR 29,7,14,Brandin Cooks left end for 11 yards (tackle by Kyshoen Jarrett),0.870,1.600
2,10:52,1,10,NOR 40,13,14,"Drew Brees pass complete to Brandin Cooks for 60 yards, touchdown",1.600,7.000
2,10:52,,,WAS 40,14,14,Kai Forbath kicks extra point good,0.000,0.000
2,10:52,,,NOR 35,14,14,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
2,10:44,1,10,WAS 20,14,14,Matt Jones middle for 2 yards (tackle by Tavaris Barnes),0.280,0.000
2,10:08,2,8,WAS 22,14,20,"Kirk Cousins pass complete to Matt Jones for 78 yards, touchdown",0.000,7.000
2,10:08,,,NOR 22,14,21,Dustin Hopkins kicks extra point good,0.000,0.000
2,10:08,,,WAS 35,14,21,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
2,9:52,1,10,NOR 20,14,21,"Penalty on Terron Armstead: False Start, 5 yards (no play)",0.280,-0.310
2,9:52,1,15,NOR 15,14,21,Drew Brees pass complete to Brandin Cooks for 15 yards (tackle by William Compton),-0.310,0.940
2,9:15,1,10,NOR 30,14,21,Drew Brees sacked by Trent Murphy and Chris Baker for -9 yards,0.940,0.940
2,8:32,1,10,NOR 30,14,21,Timeout #1 by Washington Redskins,0.940,-0.820
2,8:32,2,19,NOR 21,14,21,C.J. Spiller middle for 7 yards (tackle by Dashon Goldson),-0.820,-0.560
2,8:00,3,12,NOR 28,14,21,Drew Brees pass complete to T.J. Graham for 7 yards (tackle by Dashon Goldson),-0.560,-1.040
2,7:28,4,5,NOR 35,14,21,"Thomas Morstead punts 48 yards, returned by Jamison Crowder for 19 yards (tackle by Thomas Morstead). Penalty on Trent Robinson: Offensive Holding, 10 yards",-1.040,0.140
2,7:12,1,10,WAS 16,14,21,Kirk Cousins pass complete short right to Alfred Morris for 3 yards (tackle by Jo-Lonn Dunbar),-0.140,-0.180
2,6:30,2,7,WAS 19,14,21,Kirk Cousins pass complete to Matt Jones for 24 yards (tackle by Jairus Byrd and Kevin Williams),-0.180,1.800
2,5:45,1,10,WAS 43,14,21,Chris Thompson left tackle for 38 yards (tackle by Jairus Byrd),1.800,4.310
2,5:05,1,10,NOR 19,14,21,"Penalty on NOR: Defensive Holding, 5 yards (no play)",4.310,4.650
2,4:57,1,10,NOR 14,14,21,Matt Jones left end for 5 yards (tackle by Kenny Vaccaro),4.650,4.900
2,4:26,2,5,NOR 9,14,21,Kirk Cousins pass complete to DeSean Jackson for 2 yards (tackle by Keenan Lewis),4.900,4.500
2,4:08,3,3,NOR 7,14,21,Kirk Cousins sacked by Obum Gwacham for -10 yards,4.500,2.310
2,3:23,4,13,NOR 17,14,24,Dustin Hopkins 35 yard field goal good,2.310,3.000
2,3:23,,,WAS 35,14,24,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
2,3:18,1,10,NOR 20,14,24,C.J. Spiller right end for 2 yards (tackle by Bashaud Breeland),0.280,0.000
2,2:43,2,8,NOR 22,14,24,"Drew Brees pass complete to Mark Ingram for 2 yards (tackle by Bashaud Breeland). Penalty on Ben Watson: Offensive Pass Interference, 10 yards (no play)",0.000,-1.360
