Unnamed: 0,LAR,DEN
First Downs,24,23
Rush-Yds-TDs,39-270-2,17-60-0
Cmp-Att-Yd-TD-INT,14-28-201-0-1,25-41-322-2-1
Sacked-Yards,5-27,2-25
Net Pass Yards,174,297
Total Yards,444,357
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,10-81,6-61
Third Down Conv.,8-17,3-10
Fourth Down Conv.,1-1,0-1
Time of Possession,35:10,24:50
