Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PHI 20,0,0,Nick Foles pass incomplete,0.280,-0.270
1,14:53,2,10,PHI 20,0,0,Bryce Brown right end for -2 yards (tackle by Danny McCray),-0.270,-1.330
1,14:22,3,12,PHI 18,0,0,Nick Foles pass complete short middle to Riley Cooper for 16 yards (tackle by Morris Claiborne),-1.330,1.200
1,13:46,1,10,PHI 34,0,0,Nick Foles pass incomplete short middle intended for Riley Cooper,1.200,0.660
1,13:40,2,10,PHI 34,0,0,Bryce Brown left end for no gain (tackle by Anthony Spencer),0.660,-0.030
1,13:11,3,10,PHI 34,0,0,Nick Foles pass complete short left to Brent Celek for 10 yards (tackle by Danny McCray),-0.030,1.860
1,12:28,1,10,PHI 44,0,0,Bryce Brown right tackle for 5 yards (tackle by Ernie Sims),1.860,1.990
1,11:50,2,5,PHI 49,0,0,Bryce Brown left end for -6 yards (tackle by Anthony Spencer),1.990,0.500
1,11:19,3,11,PHI 43,0,0,Nick Foles pass complete short left to Bryce Brown for 8 yards (tackle by Danny McCray),0.500,0.000
1,10:37,4,3,DAL 49,0,0,"Mat McBriar punts 35 yards, fair catch by Dwayne Harris",0.000,0.280
1,10:29,1,10,DAL 14,0,0,DeMarco Murray left end for 14 yards (tackle by Kurt Coleman),-0.280,0.810
1,10:03,1,10,DAL 28,0,0,DeMarco Murray left tackle for 8 yards (tackle by Nnamdi Asomugha),0.810,1.340
1,9:27,2,2,DAL 36,0,0,DeMarco Murray right guard for -1 yards (tackle by Cullen Jenkins),1.340,0.500
1,8:48,3,3,DAL 35,0,0,Tony Romo sacked by Brandon Graham for -6 yards,0.500,-1.440
1,8:21,4,9,DAL 29,0,0,"Brian Moorman punts 37 yards, out of bounds",-1.440,-1.200
1,8:13,1,10,PHI 34,0,0,Bryce Brown left guard for 24 yards (tackle by Mike Jenkins),1.200,2.790
1,7:47,1,10,DAL 42,0,0,Bryce Brown left guard for 3 yards (tackle by Sean Lissemore),2.790,2.650
1,7:10,2,7,DAL 39,0,0,Nick Foles pass complete short right to Brent Celek for 16 yards (tackle by Danny McCray and Kyle Wilber),2.650,4.040
1,6:29,1,10,DAL 23,0,0,Nick Foles pass complete short left to Damaris Johnson for 13 yards (tackle by Gerald Sensabaugh and Anthony Spencer),4.040,4.910
1,5:44,1,10,DAL 10,6,0,"Bryce Brown left end for 10 yards, touchdown",4.910,7.000
1,5:44,,,DAL 2,7,0,Alex Henery kicks extra point good,0.000,0.000
1,5:44,,,PHI 35,7,0,"Alex Henery kicks off 72 yards, touchback",0.000,-0.280
1,5:38,1,10,DAL 20,7,0,Tony Romo pass complete short middle to DeMarco Murray for 6 yards (tackle by DeMeco Ryans),0.280,0.540
1,5:00,2,4,DAL 26,7,0,DeMarco Murray middle for 7 yards (tackle by Brandon Boykin),0.540,1.140
1,4:22,1,10,DAL 33,7,0,Tony Romo pass incomplete deep middle intended for Kevin Ogletree (defended by Dominique Rodgers-Cromartie),1.140,0.590
1,4:15,2,10,DAL 33,7,0,Tony Romo pass incomplete short left intended for Felix Jones,0.590,-0.100
1,4:07,3,10,DAL 33,7,0,Tony Romo pass complete short right to Jason Witten for 11 yards (tackle by Mychal Kendricks),-0.100,1.860
1,3:28,1,10,DAL 44,7,0,Felix Jones right guard for 2 yards (tackle by DeMeco Ryans),1.860,1.590
1,2:50,2,8,DAL 46,7,0,Tony Romo pass complete short right to Cole Beasley for 13 yards (tackle by Curtis Marsh),1.590,2.850
1,2:03,1,10,PHI 41,7,0,Tony Romo pass complete short right to DeMarco Murray for -1 yards (tackle by Nnamdi Asomugha),2.850,2.170
1,1:31,2,11,PHI 42,7,0,DeMarco Murray middle for 3 yards (tackle by Kurt Coleman),2.170,1.880
1,0:47,3,8,PHI 39,7,0,Tony Romo middle for 15 yards (tackle by Kurt Coleman),1.880,3.970
1,0:02,1,10,PHI 24,7,0,Tony Romo pass complete short left to DeMarco Murray for 11 yards (tackle by Dominique Rodgers-Cromartie),3.970,4.710
Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 13,7,0,"Tony Romo pass incomplete short right intended for Kevin Ogletree. Penalty on Doug Free: Offensive Holding (Offsetting), Penalty on Dominique Rodgers-Cromartie: Defensive Pass Interference (Offsetting) (no play)",4.710,4.710
2,14:48,1,10,PHI 13,7,0,DeMarco Murray middle for 5 yards (tackle by Mike Patterson and Derek Landri),4.710,4.960
2,14:16,2,5,PHI 8,7,0,"DeMarco Murray middle for 3 yards (tackle by Darryl Tapp). Penalty on Mackenzy Bernadeau: Offensive Holding, 10 yards (no play)",4.960,3.400
2,13:57,2,15,PHI 18,7,0,Tony Romo pass incomplete short left intended for Cole Beasley,3.400,2.790
2,13:52,3,15,PHI 18,7,0,Tony Romo sacked by Brandon Graham and Trent Cole for -3 yards,2.790,2.060
2,13:39,4,18,PHI 21,7,3,Dan Bailey 39 yard field goal good,2.060,3.000
2,13:39,,,DAL 35,7,3,"Dan Bailey kicks off 70 yards, returned by Brandon Boykin for 21 yards (tackle by Phillip Tanner)",0.000,0.140
2,13:28,1,10,PHI 16,7,3,Nick Foles pass complete short middle to Brent Celek for 19 yards (tackle by Danny McCray),-0.140,1.270
2,12:50,1,10,PHI 35,7,3,Nick Foles pass incomplete,1.270,0.720
2,12:45,2,10,PHI 35,7,3,Bryce Brown left end for -1 yards (tackle by Dan Connor and Marcus Spears),0.720,-0.100
