Unnamed: 0,PHI,DAL
First Downs,23,22
Rush-Yds-TDs,26-183-2,33-123-1
Cmp-Att-Yd-TD-INT,22-34-251-1-0,22-27-303-3-0
Sacked-Yards,1-11,2-9
Net Pass Yards,240,294
Total Yards,423,417
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,1-5,7-60
Third Down Conv.,6-10,9-14
Fourth Down Conv.,0-1,1-1
Time of Possession,26:42,33:18
