Quarter,Time,Tm,Detail,TAM,JAX
2.0,13:46,Jaguars,Kyle Brady 10 yard pass from Byron Leftwich (Seth Marler kick),0,7
,8:12,Buccaneers,Thomas Jones 5 yard rush (Martin Gramatica kick),7,7
,5:05,Buccaneers,Martin Gramatica 47 yard field goal,10,7
,0:12,Jaguars,Seth Marler 28 yard field goal,10,10
4.0,10:23,Jaguars,Jimmy Smith 48 yard pass from Byron Leftwich (Seth Marler kick),10,17
