Unnamed: 0,CLE,NWE
First Downs,15,19
Rush-Yds-TDs,22-159-0,27-79-0
Cmp-Att-Yd-TD-INT,20-31-194-1-1,20-36-259-2-0
Sacked-Yards,5-43,3-20
Net Pass Yards,151,239
Total Yards,310,318
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,13-85,4-32
Third Down Conv.,3-12,5-16
Fourth Down Conv.,0-1,2-2
Time of Possession,27:45,32:15
