Quarter,Time,Tm,Detail,CLE,NWE
1.0,6:35,Patriots,Mike Nugent 20 yard field goal,0,3
,5:45,Patriots,Dont'a Hightower 26 yard fumble return (Mike Nugent kick),0,10
,1:47,Patriots,Julian Edelman 8 yard pass from Tom Brady (Mike Nugent kick),0,17
2.0,7:44,Browns,Demetrius Harris 21 yard pass from Baker Mayfield (Austin Seibert kick),7,17
3.0,8:37,Browns,Austin Seibert 38 yard field goal,10,17
,6:11,Patriots,Julian Edelman 14 yard pass from Tom Brady (Mike Nugent kick),10,24
4.0,7:43,Patriots,Mike Nugent 29 yard field goal,10,27
,2:33,Browns,Austin Seibert 47 yard field goal,13,27
