Unnamed: 0,KAN,HOU
First Downs,14,13
Rush-Yds-TDs,17-72-0,31-109-0
Cmp-Att-Yd-TD-INT,22-33-168-0-2,16-22-225-1-1
Sacked-Yards,3-21,2-19
Net Pass Yards,147,206
Total Yards,219,315
Fumbles-Lost,3-2,1-1
Turnovers,4,2
Penalties-Yards,5-40,6-45
Third Down Conv.,3-11,9-14
Fourth Down Conv.,1-1,0-0
Time of Possession,27:10,32:50
