Quarter,Time,Down,ToGo,Location,KAN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Justin Medlock kicks off 66 yards, returned by Jerome Mathis for 26 yards (tackle by Benny Sapp)",0.000,0.940
1,14:51,1,10,HOU 30,0,0,Matt Schaub pass complete short middle to Andre Johnson for 5 yards (tackle by Derrick O. Johnson),0.940,1.070
1,14:19,2,5,HOU 35,0,0,Ahman Green right tackle for 2 yards (tackle by Napoleon Harris),1.070,0.630
1,13:41,3,3,HOU 37,0,0,Matt Schaub pass complete short left to Ahman Green for no gain,0.630,-0.910
1,13:06,4,3,HOU 37,0,0,"Matt Turk punts 54 yards, returned by Eddie Drummond for 3 yards (tackle by Shawn Barber)",-0.910,0.350
1,12:54,1,10,KAN 12,0,0,Eddie Kennison for 5 yards,-0.350,-0.230
1,12:23,2,5,KAN 17,0,0,Damon Huard pass complete short right to Dwayne Bowe for 6 yards (tackle by Demarcus Faggins),-0.230,0.480
1,11:43,1,10,KAN 23,0,0,Larry Johnson for 6 yards (tackle by DeMeco Ryans),0.480,0.740
1,11:19,2,4,KAN 29,0,0,Damon Huard pass incomplete short left intended for Dwayne Bowe,0.740,0.040
1,11:12,3,4,KAN 29,0,0,Larry Johnson up the middle for 6 yards (tackle by Mario Williams),0.040,1.270
1,10:35,1,10,KAN 35,0,0,Larry Johnson right tackle for -1 yards (tackle by Jason Simmons),1.270,0.590
1,9:59,2,11,KAN 34,0,0,Damon Huard pass complete short middle to Michael Bennett for 4 yards (tackle by Earl Cochran),0.590,0.430
1,9:20,3,7,KAN 38,0,0,Damon Huard pass complete short right to Samie Parker for 10 yards (tackle by Jamar Fletcher),0.430,2.130
1,8:42,1,10,KAN 48,0,0,Damon Huard pass complete deep left to Samie Parker for 20 yards (tackle by Dunta Robinson),2.130,3.450
1,8:05,1,10,HOU 32,0,0,Larry Johnson right guard for 8 yards (tackle by DeMeco Ryans and C.C. Brown),3.450,3.980
1,7:27,2,2,HOU 24,0,0,Damon Huard pass complete short right to Tony Gonzalez for 5 yards (tackle by Danny Clark),3.980,4.310
1,6:49,1,10,HOU 19,0,0,Damon Huard pass incomplete deep right intended for Kris Wilson,4.310,3.750
1,6:44,2,10,HOU 19,0,0,Michael Bennett left end for 7 yards (tackle by Morlon Greenwood and C.C. Brown),3.750,4.190
1,5:59,3,3,HOU 12,0,0,Damon Huard pass incomplete short right intended for Dwayne Bowe,4.190,2.730
1,5:59,4,3,HOU 12,0,0,Justin Medlock 30 yard field goal no good,2.730,-0.280
1,5:49,1,10,HOU 20,0,0,Matt Schaub pass incomplete short left intended for Jacoby Jones (defended by Alfonso Boone),0.280,-0.270
1,5:24,2,10,HOU 20,0,0,Matt Schaub pass incomplete short right intended for Andre Johnson (defended by Napoleon Harris),-0.270,-0.960
1,5:16,3,10,HOU 20,0,0,Matt Schaub pass complete deep left to Jacoby Jones for 26 yards (tackle by Jarrad Page),-0.960,1.990
1,4:35,1,10,HOU 46,0,0,Ahman Green left guard for no gain (tackle by Derrick O. Johnson),1.990,1.450
1,3:57,2,10,HOU 46,0,0,Ahman Green right tackle for 9 yards (tackle by Bernard Pollard and Alfonso Boone),1.450,1.950
1,3:17,3,1,KAN 45,0,0,Ahman Green right tackle for 5 yards (tackle by Bernard Pollard),1.950,2.920
1,2:39,1,10,KAN 40,0,0,Matt Schaub pass complete short left to Andre Johnson for 15 yards (tackle by Derrick O. Johnson),2.920,3.910
1,1:44,1,10,KAN 25,0,0,Ron Dayne up the middle for 1 yard (tackle by Tamba Hali),3.910,3.500
1,1:08,2,9,KAN 24,0,0,Matt Schaub pass incomplete deep left intended for Andre Johnson is intercepted by Jarrad Page,3.500,-0.280
1,0:59,1,10,KAN 20,0,0,Larry Johnson right guard for 2 yards (tackle by DeMeco Ryans),0.280,0.000
1,0:59,2,8,KAN 22,0,0,"Penalty on Kyle Turley: False Start, 5 yards (no play)",0.000,-0.790
Quarter,Time,Down,ToGo,Location,KAN,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,KAN 17,0,0,Damon Huard pass complete short right to Tony Gonzalez for 5 yards (tackle by Demarcus Faggins),-0.790,-0.690
2,14:25,3,8,KAN 22,0,0,"Damon Huard for no gain. Damon Huard fumbles, recovered by Damon Huard at KAN-KC",-0.690,-2.490
2,13:42,4,17,KAN 13,0,0,"Dustin Colquitt punts 53 yards, returned by Jacoby Jones for 2 yards (tackle by Eddie Drummond). Penalty on C.C. Brown: Illegal Block Above the Waist, 10 yards",-2.490,-0.670
2,13:42,1,10,HOU 26,0,0,Matt Schaub sacked by Donnie Edwards for -8 yards,0.670,-1.050
2,13:11,2,18,HOU 18,0,0,Matt Schaub pass complete short middle to Kevin Walter for 10 yards (tackle by Donnie Edwards),-1.050,-0.300
2,12:32,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,-0.300
2,12:32,3,8,HOU 28,0,0,Matt Schaub pass complete short middle to Ahman Green for 7 yards (tackle by Donnie Edwards),-0.300,-1.040
2,11:32,4,1,HOU 35,0,0,"Matt Turk punts 52 yards, returned by Eddie Drummond for 15 yards (tackle by Von Hutchins). Eddie Drummond fumbles, recovered by Charlie Anderson at KAN-29",-1.040,3.640
2,11:27,1,10,KAN 29,0,0,"Matt Schaub pass incomplete short right intended for Ahman Green. Penalty on Chester Pitts: Ineligible Downfield Pass, 5 yards (no play)",3.640,3.310
2,11:24,1,15,KAN 34,0,0,Matt Schaub pass complete short left to Ahman Green for 12 yards (tackle by Donnie Edwards),3.310,4.050
2,10:45,2,3,KAN 22,0,0,Ahman Green up the middle for 2 yards (tackle by Derrick O. Johnson),4.050,3.600
2,10:01,3,1,KAN 20,0,0,Ahman Green left tackle for 4 yards (tackle by Napoleon Harris),3.600,4.510
2,9:14,1,10,KAN 16,0,0,Jacoby Jones left end for 4 yards (tackle by Benny Sapp),4.510,4.570
2,8:27,2,6,KAN 12,0,0,Ron Dayne up the middle for 4 yards (tackle by Tamba Hali),4.570,4.620
2,7:42,3,2,KAN 8,0,0,Matt Schaub pass incomplete short right intended for Ron Dayne,4.620,2.990
