Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Elijah Mitchell,SFO,17,80,1,4,30,1.8,50,2.9,2,8.5
Christian McCaffrey,SFO,14,64,0,5,40,2.9,24,1.7,0,
Deebo Samuel,SFO,3,35,0,2,28,9.3,7,2.3,0,
Sam Darnold,SFO,2,-2,0,,-2,-1.0,0,0.0,0,
Jordan Mason,SFO,2,3,0,,1,0.5,2,1.0,0,
Brock Purdy,SFO,1,4,0,1,4,4.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Brian Robinson Jr.,WAS,9,44,0,4,24,2.7,20,2.2,0,
Antonio Gibson,WAS,4,19,0,1,-1,-0.3,20,5.0,0,
Sam Howell,WAS,1,-1,0,0,-1,-1.0,0,0.0,0,
