Quarter,Time,Tm,Detail,SFO,WAS
1.0,8:06,49ers,Jake Moody 38 yard field goal,3,0
,1:30,49ers,Deebo Samuel 2 yard pass from Brock Purdy (Jake Moody kick),10,0
2.0,12:05,Commanders,Joey Slye 47 yard field goal,10,3
,4:33,Commanders,Terry McLaurin 3 yard pass from Sam Howell (Joey Slye kick),10,10
,0:19,49ers,Jake Moody 22 yard field goal,13,10
3.0,5:44,49ers,Elijah Mitchell 2 yard rush (Jake Moody kick),20,10
4.0,9:20,49ers,Brandon Aiyuk 17 yard pass from Brock Purdy (Jake Moody kick),27,10
