Unnamed: 0,SFO,WAS
First Downs,28,12
Rush-Yds-TDs,39-184-1,14-62-0
Cmp-Att-Yd-TD-INT,22-28-230-2-0,17-28-169-1-2
Sacked-Yards,1-6,1-6
Net Pass Yards,224,163
Total Yards,408,225
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,3-20,5-40
Third Down Conv.,4-9,3-9
Fourth Down Conv.,0-1,0-1
Time of Possession,38:13,21:47
