Unnamed: 0,PIT,TAM
First Downs,17,18
Rush-Yds-TDs,32-201-1,21-75-1
Cmp-Att-Yd-TD-INT,12-17-186-3-2,26-37-251-0-1
Sacked-Yards,0-0,4-23
Net Pass Yards,186,228
Total Yards,387,303
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,2-20,4-45
Third Down Conv.,4-9,6-14
Fourth Down Conv.,0-1,1-1
Time of Possession,26:54,33:06
