Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
1,5:09,2,9,CHI 15,14,0,Geno Smith sacked by Ego Ferguson for -13 yards,4.050,1.690
1,4:29,3,22,CHI 28,14,0,Geno Smith pass complete short right to Jeff Cumberland for 3 yards (tackle by Jared Allen and Lamarr Houston),1.690,1.800
1,3:46,4,19,CHI 25,14,3,Nick Folk 43 yard field goal good,1.800,3.000
1,3:46,,,NYJ 35,14,3,"Nick Folk kicks off 65 yards, returned by Rashad Ross for 15 yards (tackle by Greg Salas)",0.000,0.220
1,3:36,1,10,CHI 15,14,3,Jay Cutler pass complete short middle to Martellus Bennett for 16 yards (tackle by Dawan Landry),-0.220,1.000
1,3:06,1,10,CHI 31,14,3,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Antonio Allen),1.000,0.460
1,3:01,2,10,CHI 31,14,3,Jay Cutler pass complete short right to Alshon Jeffery for 13 yards (tackle by Dawan Landry),0.460,1.860
1,2:32,1,10,CHI 44,14,3,Jay Cutler pass complete short right to Martellus Bennett for 9 yards (tackle by Demario Davis and Calvin Pryor),1.860,2.530
1,1:47,2,1,NYJ 47,14,3,Matt Forte left tackle for -1 yards (tackle by Muhammad Wilkerson and Demario Davis),2.530,1.690
1,1:12,3,2,NYJ 48,14,3,Jay Cutler pass complete short middle to Alshon Jeffery for 10 yards (tackle by Dawan Landry),1.690,3.050
1,0:44,1,10,NYJ 38,14,3,Jay Cutler pass complete short left to Santonio Holmes for 6 yards,3.050,3.320
1,0:35,2,4,NYJ 32,14,3,Matt Forte left end for -2 yards (tackle by Muhammad Wilkerson and Calvin Pryor),3.320,2.340
1,0:02,3,6,NYJ 34,14,3,Jay Cutler for 16 yards (tackle by Kyle Wilson),2.340,4.370
Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 18,14,3,Jay Cutler pass incomplete short right intended for Martellus Bennett (defended by Antonio Allen),4.370,3.800
2,14:56,2,10,NYJ 18,14,3,Jay Cutler pass incomplete short left intended for Matt Forte,3.800,3.050
2,14:53,3,10,NYJ 18,14,3,"Jay Cutler pass incomplete deep middle intended for Martellus Bennett. Penalty on Antonio Allen: Defensive Holding, 5 yards (no play)",3.050,4.710
2,14:47,1,10,NYJ 13,14,3,Matt Forte up the middle for 7 yards (tackle by Damon Harrison and Dawan Landry),4.710,5.340
2,14:04,2,3,NYJ 6,14,3,Jay Cutler pass incomplete short right intended for Alshon Jeffery,5.340,4.560
2,14:01,3,3,NYJ 6,14,3,Jay Cutler pass incomplete short middle intended for Alshon Jeffery,4.560,3.010
2,13:57,4,3,NYJ 6,17,3,Robbie Gould 24 yard field goal good,3.010,3.000
2,13:57,,,CHI 35,17,3,"Robbie Gould kicks off 66 yards, returned by Bilal Powell for 25 yards (tackle by Ryan Mundy)",0.000,-0.540
2,13:49,1,10,NYJ 24,17,3,Chris Johnson left tackle for 3 yards (tackle by Ryan Mundy and Jared Allen),0.540,0.400
2,13:16,2,7,NYJ 27,17,3,Geno Smith pass complete deep right to Jace Amaro for 43 yards (tackle by Chris Conte),0.400,3.580
2,12:34,1,10,CHI 30,17,3,Geno Smith pass complete short middle to Chris Ivory for 4 yards (tackle by D.J. Williams and Jonathan Bostic),3.580,3.570
2,11:57,2,6,CHI 26,17,3,Geno Smith pass complete short right to Jeremy Kerley for 11 yards (tackle by Jonathan Bostic),3.570,4.580
2,11:21,1,10,CHI 15,17,3,"Chris Ivory right end for 1 yard (tackle by Tim Jennings). Chris Ivory fumbles (forced by Tim Jennings), ball out of bounds at CHI-14",4.580,4.110
2,10:43,2,9,CHI 14,17,3,Geno Smith pass complete short right to Jeff Cumberland for 4 yards (tackle by Lance Briggs),4.110,4.000
2,10:05,3,5,CHI 10,17,3,Geno Smith pass incomplete short middle intended for Jeff Cumberland (defended by Stephen Paea),4.000,2.810
2,10:00,4,5,CHI 10,17,6,Nick Folk 28 yard field goal good,2.810,3.000
2,10:00,,,NYJ 35,17,6,"Nick Folk kicks off 71 yards, returned by Rashad Ross for 24 yards (tackle by Kyle Wilson)",0.000,-0.040
2,9:52,1,10,CHI 18,17,6,Jay Cutler pass complete short middle to Matt Forte for 5 yards (tackle by Demario Davis and Dawan Landry),0.040,0.280
2,9:12,2,5,CHI 23,17,6,Jay Cutler pass complete short left to Matt Forte for 6 yards (tackle by Calvin Pryor and Demario Davis),0.280,0.870
2,8:28,1,10,CHI 29,17,6,Jay Cutler left end for 1 yard (tackle by Demario Davis),0.870,0.460
2,8:13,2,9,CHI 30,17,6,Alshon Jeffery left end for 6 yards (tackle by Demario Davis and Dawan Landry),0.460,0.560
2,7:32,3,3,CHI 36,17,6,Jay Cutler pass incomplete short left intended for Martellus Bennett (defended by Sheldon Richardson),0.560,-0.980
2,7:29,4,3,CHI 36,17,6,"Pat O'Donnell punts 41 yards, returned by Jeremy Kerley for no gain",-0.980,-0.480
2,7:21,1,10,NYJ 23,17,6,Geno Smith pass complete short left to Jeremy Kerley for 16 yards (tackle by Kyle Fuller),0.480,1.530
2,6:54,1,10,NYJ 39,17,6,"Geno Smith pass complete short left to David Nelson for 1 yard (tackle by Kyle Fuller). David Nelson fumbles (forced by Kyle Fuller), ball out of bounds at NYJ-40",1.530,1.120
2,6:18,2,9,NYJ 40,17,6,Geno Smith pass incomplete,1.120,0.430
2,6:12,3,9,NYJ 40,17,6,Geno Smith pass complete short middle to Jeremy Kerley for 16 yards (tackle by Isaiah Frey and Chris Conte),0.430,2.650
2,5:34,1,10,CHI 44,17,6,Chris Johnson up the middle for 3 yards (tackle by Stephen Paea and Lance Briggs),2.650,2.520
2,4:59,2,7,CHI 41,17,6,"Chris Johnson left tackle for 2 yards (tackle by Willie Young and Danny McCray). Penalty on Lamarr Houston: Unsportsmanlike Conduct, 15 yards",2.520,3.970
2,4:32,1,10,CHI 24,17,6,Geno Smith pass incomplete deep left intended for David Nelson,3.970,3.430
2,4:28,2,10,CHI 24,17,6,Chris Johnson up the middle for 5 yards (tackle by Jared Allen and Jonathan Bostic),3.430,3.410
2,3:50,3,5,CHI 19,17,12,"Geno Smith pass complete deep middle to Jeremy Kerley for 19 yards, touchdown. Penalty on Danny McCray: Unnecessary Roughness, 15 yards",3.410,7.000
2,3:50,,,CHI 2,17,13,Nick Folk kicks extra point good,0.000,0.000
2,3:50,,,CHI 19,17,13,--,0.000,-0.280
2,3:45,1,10,CHI 20,17,13,Jay Cutler pass incomplete short left intended for Martellus Bennett (defended by Demario Davis),0.280,-0.270
2,3:40,2,10,CHI 20,17,13,Jay Cutler pass complete short right to Alshon Jeffery for 12 yards (tackle by David Harris),-0.270,1.070
2,3:18,1,10,CHI 32,17,13,Matt Forte left end for 1 yard (tackle by Sheldon Richardson and Kenrick Ellis),1.070,0.660
2,2:38,2,9,CHI 33,17,13,Jay Cutler pass complete short left to Dante Rosario for 8 yards (tackle by Darrin Walls),0.660,1.030
2,2:21,3,1,CHI 41,17,13,Matt Forte right end for 3 yards (tackle by Dawan Landry),1.030,1.860
2,2:00,1,10,CHI 44,17,13,Jay Cutler pass complete short right to Alshon Jeffery for 12 yards (tackle by Antonio Allen),1.860,2.650
2,1:37,1,10,NYJ 44,17,13,Jay Cutler pass incomplete short right intended for Alshon Jeffery,2.650,2.110
2,1:34,2,10,NYJ 44,17,13,"Jay Cutler sacked by David Harris for -10 yards. Jay Cutler fumbles (forced by David Harris), recovered by Demario Davis at CHI-46",2.110,-2.520
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
2,1:30,1,10,CHI 46,17,13,Geno Smith sacked by Stephen Paea for -1 yards,2.520,1.840
2,0:59,2,11,CHI 47,17,13,Geno Smith pass incomplete deep left intended for Jeremy Kerley,1.840,1.160
2,0:54,3,11,CHI 47,17,13,Geno Smith pass incomplete short middle intended for Bilal Powell,1.160,0.130
2,0:48,4,11,CHI 47,17,13,"Ryan Quigley punts 47 yards, touchback",0.130,-0.280
2,0:40,1,10,CHI 20,17,13,Matt Forte up the middle for 3 yards (tackle by Calvin Pace and Damon Harrison),0.280,0.140
Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,17,13,"Nick Folk kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CHI 20,17,13,Alshon Jeffery left end for 7 yards (tackle by Antonio Allen and Demario Davis),0.280,0.680
3,14:21,2,3,CHI 27,17,13,Jay Cutler pass complete deep left to Alshon Jeffery for 42 yards (tackle by Antonio Allen),0.680,3.510
3,13:49,1,10,NYJ 31,17,13,Jay Cutler pass complete short middle to Matt Forte for 19 yards (tackle by Demario Davis and Antonio Allen),3.510,4.780
3,13:03,1,10,NYJ 12,17,13,"Jay Cutler pass complete short left to Brandon Marshall for 12 yards. Penalty on Michael Ola: Illegal Use of Hands, 10 yards (no play)",4.780,4.110
3,12:58,1,20,NYJ 22,17,13,Jay Cutler pass complete short left to Alshon Jeffery for 2 yards (tackle by Antonio Allen),4.110,3.140
3,12:19,2,18,NYJ 20,17,13,Jay Cutler pass complete short left to Matt Forte for 7 yards (tackle by Antonio Allen),3.140,3.100
3,11:32,3,11,NYJ 13,23,13,"Jay Cutler pass complete short left to Martellus Bennett for 13 yards, touchdown",3.100,7.000
3,11:32,,,NYJ 2,24,13,Robbie Gould kicks extra point good,0.000,0.000
3,11:32,,,CHI 35,24,13,"Robbie Gould kicks off 66 yards, returned by Saalim Hakim for 20 yards (tackle by Cornelius Washington)",0.000,-0.150
3,11:23,1,10,NYJ 19,24,13,"Geno Smith pass complete short left to David Nelson for 6 yards (tackle by Kyle Fuller). David Nelson fumbles (forced by Kyle Fuller), ball out of bounds at NYJ-25",0.150,0.480
3,11:11,2,4,NYJ 25,24,13,Chris Johnson right end for 2 yards (tackle by Jonathan Bostic),0.480,-0.030
3,10:31,3,2,NYJ 27,24,13,Geno Smith pass incomplete deep right intended for Jace Amaro,-0.030,-1.570
3,10:25,4,2,NYJ 27,24,13,"Ryan Quigley punts 54 yards, returned by Santonio Holmes for 28 yards (tackle by Phillip Adams). Penalty on Christian Jones: Illegal Block Above the Waist, 10 yards",-1.570,-0.280
3,10:12,1,10,CHI 20,24,13,Jay Cutler sacked by Muhammad Wilkerson for -8 yards,0.280,-1.360
3,9:26,2,18,CHI 12,24,13,Jay Cutler pass complete short right to Matt Forte for 3 yards (tackle by Demario Davis and Trevor Reilly),-1.360,-1.860
3,8:45,3,15,CHI 15,24,13,Jay Cutler pass complete short left to Santonio Holmes for 3 yards (tackle by Antonio Allen),-1.860,-2.240
3,8:09,4,12,CHI 18,24,13,"Pat O'Donnell punts 44 yards, fair catch by Jeremy Kerley",-2.240,-1.470
3,8:04,1,10,NYJ 38,24,13,Geno Smith pass incomplete deep left intended for Jeff Cumberland,1.470,0.920
3,7:57,2,10,NYJ 38,24,13,Chris Ivory up the middle for 17 yards (tackle by Danny McCray and Willie Young),0.920,2.590
3,7:20,1,10,CHI 45,24,13,Chris Ivory left tackle for 6 yards (tackle by Danny McCray),2.590,2.850
3,6:49,2,4,CHI 39,24,13,Geno Smith pass complete short middle to Jeremy Kerley for 11 yards (tackle by D.J. Williams),2.850,3.710
3,6:13,1,10,CHI 28,24,13,Chris Ivory up the middle for 2 yards (tackle by Jared Allen and Willie Young),3.710,3.440
3,5:39,2,8,CHI 26,24,13,Geno Smith pass complete short left to David Nelson for 8 yards (tackle by Kyle Fuller),3.440,4.370
3,5:10,1,10,CHI 18,24,13,"Geno Smith pass incomplete deep left intended for David Nelson is intercepted by Kyle Fuller at CHI--7 and returned for 12 yards. Penalty on Nick Mangold: Unnecessary Roughness, 15 yards",4.370,-0.280
3,4:57,1,10,CHI 20,24,13,"Penalty on Jermon Bushrod: False Start, 5 yards (no play)",0.280,-0.310
3,4:57,1,15,CHI 15,24,13,Jay Cutler pass incomplete deep left intended for Alshon Jeffery,-0.310,-1.070
3,4:52,2,15,CHI 15,24,13,Jay Cutler sacked by Sheldon Richardson for -6 yards,-1.070,-2.710
3,4:08,3,21,CHI 9,24,13,Jay Cutler pass incomplete deep left intended for Brandon Marshall,-2.710,-2.490
3,3:58,4,21,CHI 9,24,13,"Pat O'Donnell punts 34 yards, fair catch by Jeremy Kerley. Penalty on Terrell Manning: Unnecessary Roughness, 15 yards",-2.490,-3.710
3,3:54,1,10,CHI 28,24,13,Chris Ivory right tackle for 7 yards (tackle by Lance Briggs and Danny McCray),3.710,4.110
3,3:14,2,3,CHI 21,24,13,Geno Smith right end for 11 yards (tackle by Brock Vereen),4.110,4.910
3,2:35,1,10,CHI 10,24,13,Chris Ivory up the middle for no gain (tackle by Danny McCray and Lance Briggs),4.910,4.190
3,2:06,2,10,CHI 10,24,13,Geno Smith pass complete short right to Chris Ivory for 8 yards (tackle by D.J. Williams),4.190,4.950
3,1:22,3,2,CHI 2,24,13,Geno Smith up the middle for -2 yards (tackle by Will Sutton and Danny McCray),4.950,3.030
3,0:31,4,4,CHI 4,24,16,Nick Folk 22 yard field goal good,3.030,3.000
3,0:31,,,NYJ 35,24,16,"Nick Folk kicks off 50 yards, returned by Dante Rosario for 10 yards (tackle by Bilal Powell)",0.000,-0.610
3,0:21,1,10,CHI 25,24,16,Matt Forte up the middle for 3 yards (tackle by Demario Davis and David Harris),0.610,0.470
Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,CHI 28,24,16,Matt Forte left end for 2 yards (tackle by Calvin Pryor),0.470,0.040
4,14:17,3,5,CHI 30,24,16,Jay Cutler pass incomplete short left intended for Santonio Holmes,0.040,-1.370
4,14:13,4,5,CHI 30,24,16,"Pat O'Donnell punts 45 yards, returned by Jeremy Kerley for 10 yards (tackle by Brock Vereen)",-1.370,-1.270
4,14:02,1,10,NYJ 35,24,16,Geno Smith pass incomplete short left intended for Chris Johnson,1.270,0.720
4,13:56,2,10,NYJ 35,24,16,Chris Johnson right tackle for 6 yards (tackle by Jonathan Bostic),0.720,0.830
4,13:14,3,4,NYJ 41,24,16,Geno Smith pass complete short middle to Zach Sudfeld for 15 yards (tackle by Jonathan Bostic),0.830,2.650
4,12:43,1,10,CHI 44,24,16,Chris Johnson right end for 4 yards (tackle by Danny McCray and Ego Ferguson),2.650,2.650
4,12:08,2,6,CHI 40,24,16,Geno Smith pass complete short right to Greg Salas for 5 yards (tackle by Tim Jennings),2.650,2.610
4,11:51,3,1,CHI 35,24,16,"Geno Smith up the middle for no gain. Penalty on David Nelson: Illegal Formation, 5 yards (no play)",2.610,1.950
4,11:42,3,6,CHI 40,24,16,"Geno Smith pass complete short right to Jace Amaro for 8 yards (tackle by Isaiah Frey). Jace Amaro fumbles (forced by Isaiah Frey), ball out of bounds at CHI-32",1.950,3.450
4,11:14,1,10,CHI 32,24,16,Geno Smith pass complete short middle to Jeremy Kerley for 7 yards (tackle by D.J. Williams),3.450,3.850
4,10:45,2,3,CHI 25,24,16,Chris Johnson right tackle for 1 yard (tackle by Kyle Fuller and Lance Briggs),3.850,3.270
4,10:02,3,2,CHI 24,24,16,Geno Smith pass incomplete short left intended for Jeff Cumberland (defended by Jonathan Bostic),3.270,1.990
4,9:56,4,2,CHI 24,24,19,Nick Folk 42 yard field goal good,1.990,3.000
4,9:56,,,NYJ 35,24,19,--,0.000,-0.740
4,9:46,1,10,CHI 27,24,19,Jay Cutler pass complete short middle to Martellus Bennett for 9 yards (tackle by David Harris),0.740,1.410
4,9:19,2,1,CHI 36,24,19,Matt Forte up the middle for 5 yards (tackle by Sheldon Richardson and Quinton Coples),1.410,1.660
4,8:39,1,10,CHI 41,24,19,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Darrin Walls),1.660,1.120
4,8:34,2,10,CHI 41,24,19,Jay Cutler pass complete short right to Alshon Jeffery for 1 yard (tackle by Antonio Allen),1.120,0.560
4,7:51,3,9,CHI 42,24,19,Jay Cutler pass complete short middle to Alshon Jeffery for 13 yards (tackle by Antonio Allen),0.560,2.590
4,7:06,1,10,NYJ 45,24,19,Matt Forte right tackle for 2 yards (tackle by Muhammad Wilkerson),2.590,2.310
4,6:23,2,8,NYJ 43,24,19,Jay Cutler pass complete short right to Brandon Marshall for 6 yards (tackle by Antonio Allen),2.310,2.410
4,5:43,3,2,NYJ 37,24,19,Matt Forte left end for 8 yards (tackle by Darrin Walls),2.410,3.640
4,4:57,1,10,NYJ 29,24,19,Matt Forte up the middle for 6 yards (tackle by Calvin Pryor and Demario Davis),3.640,3.910
4,4:13,2,4,NYJ 23,24,19,Ka'Deem Carey right end for no gain (tackle by Dawan Landry),3.910,3.200
4,3:31,3,4,NYJ 23,24,19,Jay Cutler sacked by Muhammad Wilkerson and Calvin Pace for -4 yards,3.200,3.200
4,3:14,3,4,NYJ 23,24,19,Timeout #1 by New York Jets,3.200,1.670
4,3:14,4,8,NYJ 27,27,19,Robbie Gould 45 yard field goal good,1.670,3.000
4,3:14,,,CHI 35,27,19,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
4,3:10,1,10,NYJ 20,27,19,Geno Smith pass incomplete short middle intended for David Nelson (defended by Jonathan Bostic),0.280,-0.270
4,3:04,2,10,NYJ 20,27,19,Bilal Powell up the middle for 7 yards (tackle by Danny McCray and Jonathan Bostic),-0.270,-0.030
4,2:42,3,3,NYJ 27,27,19,Geno Smith pass incomplete short left intended for Jeremy Kerley,-0.030,-1.570
4,2:39,4,3,NYJ 27,27,19,Geno Smith pass complete short right to Jace Amaro for 3 yards (tackle by Jonathan Bostic),-1.570,0.940
,,,,,,,"CHI challenged the first down ruling, and the play was upheld.",,
4,2:09,1,10,NYJ 30,27,19,Bilal Powell up the middle for 6 yards (tackle by Lamarr Houston and Stephen Paea),0.940,1.200
4,2:00,2,4,NYJ 36,27,19,Geno Smith sacked by Willie Young for -2 yards,1.200,0.230
4,1:52,3,6,NYJ 34,27,19,"Penalty on Willie Colon: False Start, 5 yards (no play)",0.230,-0.430
4,1:52,3,11,NYJ 29,27,19,Geno Smith pass complete deep left to Greg Salas for 51 yards (tackle by Brock Vereen),-0.430,-0.430
4,1:52,3,11,NYJ 29,27,19,Timeout #2 by Chicago Bears,-0.430,4.240
4,1:41,1,10,CHI 20,27,19,Geno Smith pass complete short left to Bilal Powell for 1 yard (tackle by Kyle Fuller),4.240,3.820
4,1:34,2,9,CHI 19,27,19,"Geno Smith pass incomplete. Penalty on Jonathan Bostic: Defensive Holding, 5 yards (no play)",3.820,4.650
4,1:26,1,10,CHI 14,27,19,Geno Smith pass incomplete short left intended for Greg Salas (defended by Kyle Fuller),4.650,4.000
4,1:17,2,10,CHI 14,27,19,Geno Smith pass complete short middle to Bilal Powell for 5 yards (tackle by D.J. Williams and Jared Allen),4.000,4.000
4,1:08,2,10,CHI 14,27,19,Timeout #2 by New York Jets,4.000,4.000
4,1:08,2,10,CHI 14,27,19,Timeout #3 by Chicago Bears,4.000,4.050
4,1:08,3,5,CHI 9,27,19,Geno Smith pass incomplete short left intended for David Nelson,4.050,2.880
4,1:04,4,5,CHI 9,27,19,Geno Smith pass incomplete short left intended for Jeremy Kerley,2.880,0.380
4,0:58,1,10,CHI 9,27,19,Jay Cutler kneels for -1 yards,-0.380,-0.380
4,0:50,1,10,CHI 9,27,19,Timeout #3 by New York Jets,-0.380,-0.850
4,0:50,2,11,CHI 8,27,19,Jay Cutler kneels for -1 yards,-0.850,-1.650
4,0:35,3,12,CHI 7,27,19,Jay Cutler kneels for -1 yards,-1.650,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
