Unnamed: 0,CHI,NYJ
First Downs,17,21
Rush-Yds-TDs,21-60-0,26-114-0
Cmp-Att-Yd-TD-INT,23-38-225-2-0,26-43-316-1-2
Sacked-Yards,4-28,3-16
Net Pass Yards,197,300
Total Yards,257,414
Fumbles-Lost,1-1,5-1
Turnovers,1,3
Penalties-Yards,9-95,6-78
Third Down Conv.,7-15,6-15
Fourth Down Conv.,0-0,1-2
Time of Possession,28:08,31:52
