Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Santonio Holmes,CHI,0,0,,0,0,1,11,11.0,0,11
Rashad Ross,CHI,3,63,21.0,0,24,0,0,,0,0
Dante Rosario,CHI,1,10,10.0,0,10,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Jeremy Kerley,NYJ,0,0,,0,0,2,10,5.0,0,10
Jalen Saunders,NYJ,0,0,,0,0,1,0,0.0,0,0
Saalim Hakim,NYJ,3,57,19.0,0,21,0,0,,0,0
Bilal Powell,NYJ,1,25,25.0,0,25,0,0,,0,0
