Unnamed: 0,SDG,CLE
First Downs,15,20
Rush-Yds-TDs,36-228-1,22-101-0
Cmp-Att-Yd-TD-INT,9-19-74-0-1,24-44-192-2-2
Sacked-Yards,1-13,3-16
Net Pass Yards,61,176
Total Yards,289,277
Fumbles-Lost,2-1,1-0
Turnovers,2,2
Penalties-Yards,12-93,7-76
Third Down Conv.,2-12,2-14
Fourth Down Conv.,1-2,1-3
Time of Possession,28:49,31:11
