Quarter,Time,Down,ToGo,Location,NYJ,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Nick Folk kicks off 52 yards, returned by Rashied Davis for 16 yards (tackle by James Ihedigbo)",0.000,1.200
1,14:56,1,10,CHI 34,0,0,Matt Forte right guard for 4 yards (tackle by Brodney Pool),1.200,1.200
1,14:21,2,6,CHI 38,0,0,Matt Forte right end for 5 yards (tackle by Darrelle Revis),1.200,1.160
1,14:01,3,1,CHI 43,0,0,Chester Taylor left tackle for 3 yards (tackle by Bart Scott),1.160,1.990
1,13:19,1,10,CHI 46,0,0,"Penalty on Brandon Manumaleuna: False Start, 5 yards (no play)",1.990,1.660
1,12:55,1,15,CHI 41,0,0,Jay Cutler pass complete short right to Devin Hester for 14 yards (tackle by Darrelle Revis),1.660,2.670
1,12:14,2,1,NYJ 45,0,0,Matt Forte right tackle for no gain (tackle by David Harris and Brodney Pool),2.670,1.950
1,11:25,,,,0,0,Timeout #1 by Chicago Bears,0.000,1.950
1,11:25,3,1,NYJ 45,0,0,"Jay Cutler pass incomplete deep right intended for Kellen Davis (defended by Calvin Pace). Penalty on Calvin Pace: Defensive Pass Interfere, 19 yards (no play)",1.950,3.840
1,11:19,1,10,NYJ 26,0,0,Jay Cutler pass incomplete deep left intended for Johnny Knox,3.840,3.300
1,11:13,2,10,NYJ 26,0,0,Matt Forte right tackle for 3 yards (tackle by Calvin Pace),3.300,3.010
1,10:29,3,7,NYJ 23,0,0,Jay Cutler pass complete short right to Matt Forte for 4 yards (tackle by Brodney Pool),3.010,2.280
1,9:45,4,3,NYJ 19,0,3,Robbie Gould 37 yard field goal good,2.280,3.000
1,,,,CHI 30,0,3,"Robbie Gould kicks off 63 yards, returned by Brad Smith for 20 yards (tackle by Brian Iwuh)",0.000,0.740
1,9:35,1,10,NYJ 27,0,3,"LaDainian Tomlinson left tackle for -3 yards (tackle by Tommie Harris). Penalty on Matt Slauson: Offensive Holding, 10 yards (no play)",0.740,-0.170
1,9:11,1,20,NYJ 17,0,3,Mark Sanchez pass complete short left to Santonio Holmes for 12 yards (tackle by Charles Tillman),-0.170,0.470
1,8:41,2,8,NYJ 29,0,3,"LaDainian Tomlinson left tackle for 1 yard (tackle by Anthony Adams). LaDainian Tomlinson fumbles (forced by Anthony Adams), recovered by Brandon Moore at NYJ-30",0.470,-0.100
1,7:42,3,7,NYJ 30,0,3,Mark Sanchez pass complete short middle to Jerricho Cotchery for 8 yards (tackle by Brian Urlacher and D.J. Moore),-0.100,1.470
1,6:58,1,10,NYJ 38,0,3,"Santonio Holmes left end for 3 yards (tackle by Tim Jennings). Santonio Holmes fumbles (forced by Tim Jennings), recovered by Chris Harris at NYJ-45 (tackle by Dustin Keller)",1.470,-2.590
1,6:47,1,10,NYJ 45,0,3,Matt Forte right guard for 2 yards (tackle by Sione Pouha),2.590,2.310
1,6:08,2,8,NYJ 43,0,3,Jay Cutler pass complete short right to Johnny Knox for 13 yards (tackle by Darrelle Revis and Brodney Pool),2.310,3.580
1,5:37,1,10,NYJ 30,0,3,Matt Forte right end for 8 yards (tackle by Bart Scott),3.580,4.110
1,5:01,2,2,NYJ 22,0,9,"Matt Forte right tackle for 22 yards, touchdown",4.110,7.000
1,,,,NYJ 2,0,10,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,0,10,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
1,4:54,1,10,NYJ 20,0,10,Shonn Greene right end for 12 yards (tackle by Chris Harris),0.280,1.070
1,4:12,1,10,NYJ 32,0,10,Mark Sanchez pass complete short right to Dustin Keller for 13 yards (tackle by Chris Harris),1.070,1.930
1,3:39,1,10,NYJ 45,0,10,Mark Sanchez pass complete short middle to Dustin Keller for 26 yards (tackle by Major Wright),1.930,3.640
1,2:59,1,10,CHI 29,0,10,Mark Sanchez pass complete short right to Jerricho Cotchery for no gain,3.640,3.100
1,2:15,2,10,CHI 29,0,10,Shonn Greene left guard for no gain (tackle by Tommie Harris),3.100,2.410
1,1:32,3,10,CHI 29,0,10,Mark Sanchez pass complete short middle to Dustin Keller for 18 yards (tackle by Chris Harris),2.410,4.840
1,0:47,1,10,CHI 11,0,10,"Penalty on Robert Turner: False Start, 5 yards (no play)",4.840,4.340
1,0:25,1,15,CHI 16,0,10,Mark Sanchez pass complete short right to Braylon Edwards for 13 yards (tackle by Charles Tillman),4.340,5.660
Quarter,Time,Down,ToGo,Location,NYJ,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,CHI 3,6,10,"Shonn Greene right tackle for 3 yards, touchdown",5.660,7.000
2,,,,CHI 2,7,10,Nick Folk kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,10,"Nick Folk kicks off 61 yards, returned by Danieal Manning for 37 yards (tackle by Marquice Cole). Penalty on Rod Wilson: Offensive Holding, 10 yards",0.000,0.610
2,14:48,1,10,CHI 25,7,10,"Penalty on Olin Kreutz: False Start, 5 yards (no play)",0.610,0.280
2,14:48,1,15,CHI 20,7,10,Chester Taylor right tackle for -5 yards (tackle by Calvin Pace),0.280,-1.430
2,14:00,2,20,CHI 15,13,10,"Jay Cutler pass incomplete short left intended for Earl Bennett is intercepted by Dwight Lowery at CHI-20 and returned for 20 yards, touchdown",-1.430,-7.000
2,,,,CHI 2,14,10,Nick Folk kicks extra point good,0.000,0.000
2,,,,NYJ 30,14,10,"Nick Folk kicks off 44 yards, returned by Rashied Davis for 14 yards (tackle by James Ihedigbo)",0.000,1.600
2,13:47,1,10,CHI 40,14,10,Jay Cutler pass incomplete short right intended for Greg Olsen (defended by Brodney Pool),1.600,1.050
2,13:41,2,10,CHI 40,14,10,Matt Forte right guard for 2 yards (tackle by David Harris),1.050,0.630
2,12:56,3,8,CHI 42,14,10,Jay Cutler pass incomplete short left intended for Earl Bennett (defended by Darrelle Revis),0.630,-0.590
