Quarter,Time,Tm,Detail,NYJ,CHI
1.0,9:40,Bears,Robbie Gould 37 yard field goal,0,3
,4:54,Bears,Matt Forte 22 yard rush (Robbie Gould kick),0,10
2.0,14:56,Jets,Shonn Greene 3 yard rush (Nick Folk kick),7,10
,13:52,Jets,Dwight Lowery 20 yard interception return (Nick Folk kick),14,10
,5:44,Jets,LaDainian Tomlinson 3 yard rush (Nick Folk kick),21,10
,2:44,Bears,Jay Cutler 2 yard rush (Robbie Gould kick),21,17
,0:12,Jets,Nick Folk 26 yard field goal,24,17
3.0,13:20,Bears,Johnny Knox 40 yard pass from Jay Cutler (Robbie Gould kick),24,24
,10:29,Bears,Devin Hester 25 yard pass from Jay Cutler (Robbie Gould kick),24,31
,8:36,Jets,Santonio Holmes 23 yard pass from Mark Sanchez (Nick Folk kick),31,31
,6:06,Bears,Johnny Knox 26 yard pass from Jay Cutler (Robbie Gould kick),31,38
4.0,14:52,Jets,Nick Folk 34 yard field goal,34,38
