Quarter,Time,Tm,Detail,ATL,SEA
2.0,8:24,Seahawks,Joe Jurevicius 6 yard pass from Matt Hasselbeck (Josh Brown kick),0,7
,3:56,Seahawks,Shaun Alexander 14 yard rush (Josh Brown kick),0,14
,0:28,Seahawks,Jerramy Stevens 35 yard pass from Matt Hasselbeck (Josh Brown kick),0,21
3.0,10:14,Falcons,Brian Finneran 5 yard pass from Michael Vick (Todd Peterson kick),7,21
,7:00,Falcons,Todd Peterson 30 yard field goal,10,21
4.0,3:58,Falcons,T.J. Duckett 1 yard rush (Alge Crumpler pass from Matt Schaub),18,21
