Unnamed: 0,ATL,SEA
First Downs,14,24
Rush-Yds-TDs,28-115-1,34-163-1
Cmp-Att-Yd-TD-INT,11-20-123-1-0,20-31-281-2-0
Sacked-Yards,3-15,2-16
Net Pass Yards,108,265
Total Yards,223,428
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,3-24,10-79
Third Down Conv.,2-11,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,23:25,36:35
