Quarter,Time,Tm,Detail,LVR,KAN
1.0,6:45,Raiders,Daniel Carlson 38 yard field goal,3,0
,2:06,Chiefs,Patrick Mahomes 3 yard rush (Harrison Butker kick),3,7
2.0,14:29,Chiefs,Tyreek Hill 10 yard rush (Harrison Butker kick),3,14
,11:48,Raiders,Nelson Agholor 59 yard pass from Derek Carr (Daniel Carlson kick),10,14
,9:04,Chiefs,Sammy Watkins 8 yard pass from Patrick Mahomes (Harrison Butker kick),10,21
,6:24,Raiders,Darren Waller 5 yard pass from Derek Carr (Daniel Carlson kick),17,21
,2:39,Raiders,Henry Ruggs III 72 yard pass from Derek Carr (Daniel Carlson kick),24,21
,0:28,Chiefs,Harrison Butker 32 yard field goal,24,24
4.0,14:14,Raiders,Josh Jacobs 7 yard rush (Daniel Carlson kick failed),30,24
,6:34,Raiders,Daniel Carlson 43 yard field goal,33,24
,5:26,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),40,24
,3:57,Chiefs,Travis Kelce 7 yard pass from Patrick Mahomes (Darrel Williams pass from Patrick Mahomes),40,32
