Unnamed: 0,CLE,MIN
First Downs,23,21
Rush-Yds-TDs,17-103-0,31-134-3
Cmp-Att-Yd-TD-INT,31-55-332-4-3,25-42-228-0-1
Sacked-Yards,3-26,6-33
Net Pass Yards,306,195
Total Yards,409,329
Fumbles-Lost,1-1,3-2
Turnovers,4,3
Penalties-Yards,5-47,4-35
Third Down Conv.,6-15,8-17
Fourth Down Conv.,2-3,0-0
Time of Possession,28:52,31:08
