Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Billy Cundiff kicks off 74 yards, returned by Cordarrelle Patterson for 29 yards (tackle by Chris Ogbonnaya)",0.000,-0.280
1,14:56,1,10,MIN 20,0,0,Adrian Peterson right guard for 4 yards (tackle by Ahtyba Rubin),0.280,0.270
1,14:21,2,6,MIN 24,0,0,Christian Ponder pass complete short right to Kyle Rudolph for 5 yards (tackle by Craig Robertson),0.270,0.230
1,13:46,3,1,MIN 29,0,0,Adrian Peterson right tackle for 4 yards (tackle by Desmond Bryant),0.230,1.140
1,13:08,1,10,MIN 33,0,0,Christian Ponder pass complete deep right to Greg Jennings for 27 yards (tackle by Tashaun Gipson),1.140,2.920
1,12:42,1,10,CLE 40,0,0,Adrian Peterson left guard for 1 yard (tackle by D'Qwell Jackson),2.920,2.510
1,12:02,2,9,CLE 39,0,0,Adrian Peterson up the middle for 4 yards (tackle by Desmond Bryant and T.J. Ward),2.510,2.340
1,11:25,3,5,CLE 35,0,0,Christian Ponder pass complete deep left to Jarius Wright for 20 yards (tackle by T.J. Ward),2.340,4.580
1,10:44,1,10,CLE 15,0,0,Christian Ponder pass incomplete short right intended for John Carlson (defended by Buster Skrine),4.580,3.950
1,10:38,2,10,CLE 15,0,0,Adrian Peterson right tackle for 9 yards,3.950,4.900
1,9:57,3,1,CLE 6,0,0,Adrian Peterson up the middle for 4 yards (tackle by Barkevious Mingo and T.J. Ward),4.900,6.740
1,9:19,1,2,CLE 2,0,6,"Adrian Peterson up the middle for 2 yards, touchdown",6.740,7.000
1,9:19,,,CLE 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,9:19,,,MIN 35,0,7,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,9:13,1,10,CLE 20,0,7,Brian Hoyer pass incomplete short left intended for Davone Bess,0.280,-0.270
1,9:09,2,10,CLE 20,0,7,Bobby Rainey left tackle for 1 yard (tackle by Letroy Guion and Erin Henderson),-0.270,-0.820
1,8:32,3,9,CLE 21,0,7,Brian Hoyer pass incomplete short right intended for Josh Gordon,-0.820,-1.960
1,8:28,4,9,CLE 21,0,7,"Spencer Lanning punts 56 yards, returned by Marcus Sherels for 2 yards (tackle by Johnson Bademosi). Penalty on Josh Robinson: Illegal Block Above the Waist, 10 yards",-1.960,0.220
1,8:17,1,10,MIN 15,0,7,Christian Ponder pass incomplete deep middle intended for Cordarrelle Patterson,-0.220,-0.710
1,8:11,2,10,MIN 15,0,7,Adrian Peterson right end for 1 yard (tackle by Paul Kruger),-0.710,-1.250
1,7:32,3,9,MIN 16,0,7,Christian Ponder pass complete short right to Adrian Peterson for 7 yards (tackle by Tashaun Gipson),-1.250,-1.830
1,7:03,4,2,MIN 23,0,7,"Jeff Locke punts 45 yards, fair catch by Travis Benjamin",-1.830,-1.070
1,6:55,1,10,CLE 32,0,7,Brian Hoyer pass complete short right to Davone Bess for 9 yards (tackle by Chad Greenway),1.070,1.740
1,6:21,2,1,CLE 41,0,7,Chris Ogbonnaya left guard for 1 yard (tackle by Everson Griffen and Chad Greenway),1.740,1.730
1,5:50,1,10,CLE 42,0,7,Willis McGahee right guard for no gain (tackle by Desmond Bishop and Erin Henderson),1.730,1.190
1,5:15,2,10,CLE 42,0,7,Brian Hoyer pass incomplete short middle intended for Chris Ogbonnaya,1.190,0.500
1,5:11,3,10,CLE 42,0,7,Brian Hoyer pass complete short left to Jordan Cameron for 11 yards (tackle by Chad Greenway),0.500,2.460
1,4:50,1,10,MIN 47,6,7,"Brian Hoyer pass complete deep left to Josh Gordon for 47 yards, touchdown",2.460,7.000
1,4:50,,,MIN 2,7,7,Billy Cundiff kicks extra point good,0.000,0.000
1,4:50,,,CLE 35,7,7,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
1,4:42,1,10,MIN 20,7,7,Adrian Peterson right tackle for no gain (tackle by Jabaal Sheard),0.280,-0.270
1,4:07,2,10,MIN 20,7,7,Christian Ponder pass incomplete deep left intended for Kyle Rudolph,-0.270,-0.960
1,4:01,3,10,MIN 20,7,7,Christian Ponder sacked by Billy Winn for -6 yards,-0.960,-2.470
1,3:36,4,16,MIN 14,7,7,"Jeff Locke punts 50 yards, returned by Travis Benjamin for -8 yards (tackle by A.J. Jefferson). Penalty on Paul Hazel: Offensive Holding, 10 yards",-2.470,-0.040
1,3:21,1,10,CLE 18,7,7,Brian Hoyer pass complete short left to Josh Gordon for 30 yards (tackle by Erin Henderson),0.040,2.130
1,2:53,1,10,CLE 48,7,7,"Penalty on Jared Allen: Neutral Zone Infraction, 5 yards (no play)",2.130,2.860
1,2:36,1,5,MIN 47,7,7,Brian Hoyer right end for -2 yards (tackle by Brian Robison),2.860,1.990
1,2:06,2,7,MIN 49,7,7,Brian Hoyer pass complete short middle to Chris Ogbonnaya for 6 yards (tackle by Marvin Mitchell),1.990,2.080
1,1:19,3,1,MIN 43,7,7,Brian Hoyer pass complete short right to Davone Bess for 3 yards (tackle by Marcus Sherels),2.080,2.920
1,0:43,1,10,MIN 40,7,7,Josh Gordon right end for 22 yards (tackle by Marvin Mitchell),2.920,4.370
1,0:00,1,10,MIN 18,7,7,Brian Hoyer pass complete short left to Greg Little for -1 yards (tackle by Marcus Sherels),4.370,3.670
Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,MIN 19,13,7,"Brian Hoyer pass complete deep left to Jordan Cameron for 19 yards, touchdown",3.670,7.000
2,15:00,,,MIN 2,14,7,Billy Cundiff kicks extra point good,0.000,0.000
2,15:00,,,CLE 35,14,7,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
2,14:55,1,10,MIN 20,14,7,Christian Ponder pass complete short right to Jarius Wright for 11 yards (tackle by Chris Owens),0.280,1.000
2,14:30,1,10,MIN 31,14,7,Adrian Peterson right guard for 6 yards (tackle by Paul Kruger and Joe Haden),1.000,1.270
2,13:57,2,4,MIN 37,14,7,Adrian Peterson up the middle for 8 yards (tackle by Buster Skrine),1.270,1.930
2,13:21,1,10,MIN 45,14,7,Adrian Peterson left tackle for -1 yards (tackle by D'Qwell Jackson and Ishmaa'ily Kitchen),1.930,1.250
2,12:46,2,11,MIN 44,14,7,Christian Ponder pass complete deep right to Cordarrelle Patterson for 37 yards (tackle by Buster Skrine),1.250,4.310
2,12:00,1,10,CLE 19,14,7,Christian Ponder pass complete short right to Greg Jennings for 9 yards (tackle by Tashaun Gipson),4.310,5.360
2,11:26,2,1,CLE 10,14,7,Christian Ponder pass complete short left to Adrian Peterson for 3 yards (tackle by T.J. Ward),5.360,5.600
2,10:54,1,7,CLE 7,14,7,Adrian Peterson right tackle for 1 yard (tackle by Billy Winn and Paul Kruger),5.600,4.950
2,10:15,2,6,CLE 6,14,13,"Christian Ponder up the middle for 6 yards, touchdown",4.950,7.000
2,10:15,,,CLE 2,14,14,Blair Walsh kicks extra point good,0.000,0.000
2,10:15,,,MIN 35,14,14,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,10:12,1,10,CLE 20,14,14,"Willis McGahee up the middle for 4 yards (tackle by Sharrif Floyd). Penalty on Brian Robison: Illegal Use of Hands, 5 yards",0.280,0.870
2,9:49,1,10,CLE 29,14,14,Brian Hoyer pass complete short right to Chris Ogbonnaya for 5 yards (tackle by Desmond Bishop),0.870,1.000
2,9:18,2,5,CLE 34,14,14,Willis McGahee up the middle for -1 yards (tackle by Everson Griffen),1.000,0.170
2,8:38,3,6,CLE 33,14,14,Brian Hoyer pass complete short right to Josh Gordon for 5 yards (tackle by Marcus Sherels),0.170,-0.850
2,8:05,4,1,CLE 38,14,14,Josh Aubrey up the middle for 34 yards (tackle by Marcus Sherels),-0.850,3.710
2,7:16,1,10,MIN 28,14,14,Willis McGahee right guard for 2 yards (tackle by Chad Greenway),3.710,3.440
2,6:43,2,8,MIN 26,14,14,Brian Hoyer pass incomplete short right intended for Josh Gordon,3.440,2.740
2,6:35,3,8,MIN 26,14,14,Brian Hoyer pass complete short left to Davone Bess for 6 yards (tackle by Josh Robinson),2.740,2.250
2,6:12,4,2,MIN 20,17,14,Billy Cundiff 38 yard field goal good,2.250,3.000
2,6:12,,,CLE 35,17,14,"Billy Cundiff kicks off 68 yards, returned by Cordarrelle Patterson for 30 yards (tackle by Johnson Bademosi)",0.000,-0.740
2,6:00,1,10,MIN 27,17,14,Adrian Peterson right guard for 4 yards (tackle by Paul Kruger and Jabaal Sheard),0.740,0.740
2,5:23,2,6,MIN 31,17,14,Christian Ponder pass incomplete intended for Jerome Simpson is intercepted by T.J. Ward at CLE-49 and returned for 13 yards (tackle by Jerome Simpson),0.740,-3.050
2,5:12,1,10,MIN 38,17,14,Brian Hoyer pass incomplete short middle intended for Josh Gordon (defended by Marcus Sherels),3.050,2.510
2,5:09,2,10,MIN 38,17,14,Brian Hoyer pass complete deep middle to Josh Gordon for 21 yards (tackle by Josh Robinson),2.510,4.440
2,4:34,1,10,MIN 17,17,14,Brian Hoyer pass incomplete short left intended for Jordan Cameron,4.440,3.850
2,4:29,2,10,MIN 17,17,14,Bobby Rainey left guard for 6 yards (tackle by Harrison Smith),3.850,3.850
2,3:49,2,10,MIN 17,17,14,Timeout #1 by Cleveland Browns,3.850,4.100
2,3:49,3,4,MIN 11,17,14,Brian Hoyer pass incomplete short left intended for Davone Bess,4.100,2.770
2,3:39,4,4,MIN 11,23,14,"Spencer Lanning pass complete short right to Jordan Cameron for 11 yards, touchdown",2.770,7.000
2,3:39,,,MIN 2,24,14,Billy Cundiff kicks extra point good,0.000,0.000
2,3:39,,,CLE 35,24,14,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
2,3:39,1,10,MIN 20,24,14,Christian Ponder sacked by Phil Taylor for -7 yards,0.280,-1.280
2,3:07,2,17,MIN 13,24,14,Christian Ponder pass complete short middle to Toby Gerhart for 5 yards (tackle by D'Qwell Jackson),-1.280,-1.280
2,2:51,2,17,MIN 13,24,14,Timeout #2 by Cleveland Browns,-1.280,-1.330
2,2:51,3,12,MIN 18,24,14,Christian Ponder pass incomplete deep middle intended for Jerome Simpson (defended by Buster Skrine),-1.330,-2.240
2,2:43,4,12,MIN 18,24,14,"Jeff Locke punts 55 yards, muffed catch by Travis Benjamin, recovered by Larry Dean and returned for no gain",-2.240,3.840
2,2:28,1,10,CLE 26,24,14,"Penalty on MIN: Unsportsmanlike Conduct, 15 yards (no play)",3.840,2.850
2,2:28,1,25,CLE 41,24,14,Christian Ponder pass complete short left to Jerome Simpson for 5 yards (tackle by Joe Haden),2.850,1.950
2,2:02,2,20,CLE 36,24,14,Christian Ponder pass complete short left to Jerome Simpson for 9 yards (tackle by Joe Haden),1.950,2.480
2,1:56,3,11,CLE 27,24,14,Christian Ponder pass complete short right to Adrian Peterson for 2 yards (tackle by Joe Haden),2.480,1.800
2,1:12,4,9,CLE 25,24,17,Blair Walsh 43 yard field goal good,1.800,3.000
2,1:12,,,MIN 35,24,17,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
