Unnamed: 0,CLE,SFO
First Downs,20,15
Rush-Yds-TDs,19-51-0,24-75-0
Cmp-Att-Yd-TD-INT,25-38-222-2-1,21-35-198-0-1
Sacked-Yards,3-22,2-8
Net Pass Yards,200,190
Total Yards,251,265
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,7-60,8-88
Third Down Conv.,9-14,5-15
Fourth Down Conv.,0-0,0-2
Time of Possession,28:45,31:15
