Quarter,Time,Down,ToGo,Location,CLE,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,Owen Pochman kicks off 68 yards,0.000,1.600
1,15:00,1,10,CLE 40,0,0,William Green up the middle for 1 yard (tackle by Derek Smith and Bryant Young),1.600,1.190
1,14:26,2,9,CLE 41,0,0,William Green up the middle for -1 yards (tackle by Bryant Young),1.190,0.370
1,13:49,3,10,CLE 40,0,0,Kelly Holcomb pass incomplete intended for Steve Heiden,0.370,-0.720
1,13:44,4,10,CLE 40,0,0,"Chris Gardocki punts 47 yards, returned by Jimmy Williams for 13 yards (tackle by Aaron Shea)",-0.720,-0.670
1,13:31,1,10,SFO 26,0,0,Jeff Garcia pass complete to Tai Streets for 16 yards (tackle by Daylon McCutcheon),0.670,1.730
1,12:54,1,10,SFO 42,0,0,"Garrison Hearst right guard for 1 yard (tackle by Andra Davis). Penalty on CLE: Defensive Offside, 5 yards (no play)",1.730,2.460
1,12:34,1,5,SFO 47,0,0,Jeff Garcia pass complete to Terrell Owens for 18 yards (tackle by Earl Little),2.460,3.250
1,12:03,1,10,CLE 35,0,0,Garrison Hearst right tackle for -2 yards (tackle by Robert Griffith),3.250,2.430
1,11:23,2,12,CLE 37,0,0,Jeff Garcia up the middle for 9 yards (tackle by Brant Boyer),2.430,2.940
1,10:41,3,3,CLE 28,0,0,Garrison Hearst right guard for 7 yards (tackle by Kenard Lang),2.940,4.170
1,10:01,1,10,CLE 21,0,0,Garrison Hearst right end for 5 yards (tackle by Kenard Lang),4.170,4.370
1,9:24,2,5,CLE 16,0,0,Jeff Garcia pass complete to Cedrick Wilson for 7 yards (tackle by Anthony Henry),4.370,5.140
1,8:42,1,9,CLE 9,0,0,Kevan Barlow right guard for -2 yards (tackle by Andra Davis and Brant Boyer),5.140,4.020
1,8:05,2,11,CLE 11,0,0,Jeff Garcia up the middle for 10 yards (tackle by Robert Griffith and Anthony Henry),4.020,5.170
1,7:20,3,1,CLE 1,0,0,Fred Beasley up the middle for no gain (tackle by Andra Davis and Kevin Bentley),5.170,3.550
1,6:35,4,1,CLE 1,0,0,Fred Beasley up the middle for no gain (tackle by Orpheus Roye),3.550,0.380
,,,,,,,"SFO challenged the ruling, and the play was upheld.",,
1,6:21,1,10,CLE 1,0,0,Kelly Holcomb up the middle for 1 yard (tackle by Chidi Ahanotu and Jeff Ulbrich),-0.380,-0.710
1,5:47,2,9,CLE 2,0,0,William Green left guard for 3 yards (tackle by Travis Kirschke),-0.710,-0.950
1,5:04,3,6,CLE 5,0,0,Kelly Holcomb pass complete to Jamel White for 10 yards (tackle by Ahmed Plummer and Ronnie Heard),-0.950,-0.220
1,4:28,1,10,CLE 15,0,0,Kelly Holcomb pass complete to Andre' Davis for 21 yards (tackle by Mike Rumph),-0.220,1.330
1,4:05,1,10,CLE 36,0,0,William Green right guard for 2 yards (tackle by Anthony Adams),1.330,1.060
1,3:32,2,8,CLE 38,0,0,Kelly Holcomb pass incomplete intended for Kevin Johnson (defended by Ahmed Plummer),1.060,0.370
1,3:25,3,8,CLE 38,0,0,Kelly Holcomb pass incomplete intended for Kevin Johnson,0.370,-0.850
1,3:21,4,8,CLE 38,0,0,Chris Gardocki punts 37 yards,-0.850,-0.610
1,3:11,1,10,SFO 25,0,0,Kevan Barlow right end for -2 yards (tackle by Courtney Brown),0.610,-0.210
1,2:33,2,12,SFO 23,0,0,Jeff Garcia pass incomplete intended for Terrell Owens,-0.210,-0.890
1,2:29,3,12,SFO 23,0,0,Jeff Garcia pass complete to Kevan Barlow for -2 yards (tackle by Chaun Thompson),-0.890,-1.960
1,1:49,4,14,SFO 21,0,0,"Bill LaFleur punts 49 yards, returned by Andra Davis for 7 yards (tackle by Dwaine Carpenter). Andra Davis fumbles, recovered by Arnaz Battle at CLE-37",-1.960,3.120
1,1:37,1,10,CLE 37,0,0,Jeff Garcia pass complete to Garrison Hearst for 5 yards (tackle by Kevin Bentley and Alvin McKinley),3.120,3.250
1,0:55,2,5,CLE 32,0,0,Jeff Garcia pass complete to Jed Weaver for 18 yards (tackle by Anthony Henry and Kevin Bentley),3.250,4.650
1,0:06,1,10,CLE 14,0,0,"Jeff Garcia sacked by Courtney Brown for -4 yards. Jeff Garcia fumbles (forced by Courtney Brown), recovered by Scott Gragg at CLE-16 and returned for 3 yards",4.650,4.160
Quarter,Time,Down,ToGo,Location,CLE,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,CLE 13,0,0,Jeff Garcia pass complete to Terrell Owens for 1 yard (tackle by Anthony Henry),4.160,3.430
2,14:17,3,8,CLE 12,0,0,Jeff Garcia sacked by Mark Word for -8 yards,3.430,2.120
2,13:40,4,16,CLE 20,0,3,Owen Pochman 38 yard field goal good,2.120,3.000
2,,,,SFO 30,0,3,"Owen Pochman kicks off 59 yards, returned by Andra Davis for 19 yards (tackle by Jimmy Williams)",0.000,0.940
2,13:28,1,10,CLE 30,0,3,William Green left guard for 1 yard (tackle by Derek Smith and Jeff Ulbrich),0.940,0.530
2,12:49,2,9,CLE 31,0,3,"Penalty on Shaun O'Hara: False Start, 5 yards (no play)",0.530,-0.150
2,12:33,2,14,CLE 26,0,3,Kelly Holcomb pass complete to Aaron Shea for 2 yards (tackle by Ahmed Plummer),-0.150,-0.560
2,11:51,3,12,CLE 28,0,3,Kelly Holcomb pass complete to Kevin Johnson for 17 yards (tackle by Jimmy Williams),-0.560,1.930
2,11:19,1,10,CLE 45,0,3,William Green right tackle for no gain (tackle by Derek Smith and Andre Carter),1.930,1.380
2,10:40,2,10,CLE 45,0,3,Kelly Holcomb pass complete to Quincy Morgan for 12 yards (tackle by Tony Parrish),1.380,2.720
2,10:00,1,10,SFO 43,0,3,Kelly Holcomb pass incomplete intended for William Green (defended by Jamie Winborn),2.720,2.180
2,9:54,2,10,SFO 43,0,3,"Andra Davis left end for 3 yards (tackle by Zack Bronson and Tony Parrish). Penalty on Kevin Johnson: Illegal Crackback, 15 yards",2.180,0.560
2,9:30,2,22,CLE 45,0,3,Kelly Holcomb pass incomplete intended for Quincy Morgan,0.560,-0.100
2,9:26,3,22,CLE 45,0,3,Kelly Holcomb pass incomplete intended for Quincy Morgan,-0.100,-0.390
2,9:19,4,22,CLE 45,0,3,"Chris Gardocki punts 46 yards, returned by Jimmy Williams for 12 yards (tackle by Ryan Pontbriand)",-0.390,-0.340
2,9:05,1,10,SFO 21,0,3,Jeff Garcia pass complete to Kevan Barlow for 5 yards (tackle by Ben Taylor and Andra Davis),0.340,0.480
2,8:25,2,5,SFO 26,0,3,Kevan Barlow right end for 3 yards (tackle by Andra Davis),0.480,0.170
2,7:44,3,2,SFO 29,0,3,Jeff Garcia pass complete to Aaron Walker for 10 yards (tackle by Barry Gardner),0.170,1.530
2,7:02,1,10,SFO 39,0,3,Kevan Barlow right tackle for 6 yards (tackle by Courtney Brown),1.530,1.800
2,6:24,2,4,SFO 45,0,3,Jeff Garcia pass incomplete intended for Cedrick Wilson,1.800,1.090
2,6:16,3,4,SFO 45,0,3,Jeff Garcia pass incomplete intended for Terrell Owens,1.090,-0.390
2,6:10,4,4,SFO 45,0,3,"Bill LaFleur punts 55 yards, touchback",-0.390,-0.280
2,5:58,1,10,CLE 20,0,3,"Kelly Holcomb pass incomplete intended for Kevin Johnson. Penalty on Mike Rumph: Defensive Pass Interference, 27 yards (no play)",0.280,2.060
2,5:53,1,10,CLE 47,0,3,William Green up the middle for 3 yards (tackle by Julian Peterson and Travis Kirschke),2.060,1.920
2,5:08,2,7,SFO 50,0,3,Kelly Holcomb pass complete to Kevin Johnson for 8 yards (tackle by Jamie Winborn),1.920,2.790
2,4:32,1,10,SFO 42,0,3,William Green left tackle for 10 yards (tackle by Mike Rumph),2.790,3.450
2,3:47,1,10,SFO 32,0,3,"William Green up the middle for 1 yard (tackle by Julian Peterson). Penalty on John Engelberger: Defensive Offside, 5 yards (no play)",3.450,4.180
2,3:24,1,5,SFO 27,0,3,William Green left end for 3 yards (tackle by Jamie Winborn),4.180,3.980
2,3:24,2,2,SFO 24,0,3,"Penalty on CLE: Illegal Substitution, 5 yards (no play)",3.980,3.310
2,2:23,,,,0,3,Timeout #1 by Cleveland Browns,0.000,3.310
2,2:23,2,7,SFO 29,0,3,Kelly Holcomb sacked by Derek Smith for -7 yards,3.310,1.690
2,2:00,3,14,SFO 36,0,3,Kelly Holcomb sacked by Ronnie Heard and Andre Carter for -9 yards,1.690,0.270
2,1:49,,,,0,3,Timeout #2 by San Francisco 49ers,0.000,0.270
2,1:49,4,23,SFO 45,0,3,"Chris Gardocki punts 45 yards, touchback",0.270,-0.280
2,1:37,1,10,SFO 20,0,3,Jeff Garcia pass complete to Garrison Hearst for 5 yards (tackle by Andra Davis),0.280,0.410
2,1:18,2,5,SFO 25,0,3,Jeff Garcia pass incomplete intended for Tai Streets,0.410,-0.300
2,1:11,3,5,SFO 25,0,3,Jeff Garcia pass complete to Terrell Owens for 27 yards (tackle by Chris Crocker and Robert Griffith),-0.300,2.390
2,1:02,1,10,CLE 48,0,3,Jeff Garcia pass complete to Terrell Owens for 3 yards (tackle by Anthony Henry),2.390,2.250
2,0:53,,,,0,3,Timeout #3 by San Francisco 49ers,0.000,2.250
2,0:53,2,7,CLE 45,0,3,Jeff Garcia pass incomplete intended for Brandon Lloyd,2.250,1.550
2,0:47,3,7,CLE 45,0,3,Jeff Garcia pass complete to Terrell Owens for 15 yards (tackle by Robert Griffith),1.550,3.580
2,0:32,1,10,CLE 30,0,3,Jeff Garcia spiked the ball,3.580,3.030
2,0:31,2,10,CLE 30,0,3,Jeff Garcia pass complete to Terrell Owens for 4 yards (tackle by Anthony Henry and Barry Gardner),3.030,2.870
2,0:06,3,6,CLE 26,0,3,Jeff Garcia pass incomplete intended for Tai Streets,2.870,1.760
2,0:04,4,6,CLE 26,0,6,Owen Pochman 44 yard field goal good,1.760,3.000
Quarter,Time,Down,ToGo,Location,CLE,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,0,6,"Phil Dawson kicks off 70 yards, returned by Cedrick Wilson for 24 yards (tackle by Jamel White)",0.000,0.540
3,14:54,1,10,SFO 24,0,6,Terrell Owens right end for 3 yards (tackle by Daylon McCutcheon),0.540,0.400
3,14:14,2,7,SFO 27,0,6,Garrison Hearst up the middle for 8 yards (tackle by Ben Taylor and Robert Griffith),0.400,1.270
3,13:29,1,10,SFO 35,0,6,Jeff Garcia pass complete to Tai Streets for 19 yards (tackle by Robert Griffith),1.270,2.520
3,12:48,1,10,CLE 46,0,6,Garrison Hearst left guard for 1 yard (tackle by Ben Taylor and Kenard Lang),2.520,2.110
3,12:08,2,9,CLE 45,0,6,Jeff Garcia pass complete to Terrell Owens for 13 yards (tackle by Ben Taylor),2.110,3.450
3,11:26,1,10,CLE 32,0,6,Garrison Hearst right tackle for 2 yards (tackle by Ben Taylor),3.450,3.170
3,10:42,2,8,CLE 30,0,6,Jeff Garcia pass complete to Cedrick Wilson for 5 yards (tackle by Daylon McCutcheon),3.170,3.140
3,10:16,3,3,CLE 25,0,6,Garrison Hearst right tackle for -3 yards (tackle by Ben Taylor and Andra Davis),3.140,1.610
3,9:18,4,6,CLE 28,0,9,Owen Pochman 46 yard field goal good,1.610,3.000
3,,,,SFO 30,0,9,"Owen Pochman kicks off 64 yards, returned by Andra Davis for 11 yards (tackle by Ahmed Plummer)",0.000,1.990
3,9:02,1,10,CLE 46,0,9,William Green right guard for 1 yard (tackle by Jamie Winborn),1.990,1.590
3,8:19,2,9,CLE 47,0,9,Kelly Holcomb pass complete to Kevin Johnson for 17 yards (tackle by Mike Rumph),1.590,3.180
3,7:43,1,10,SFO 36,0,9,"Kelly Holcomb pass incomplete. Penalty on Kelly Holcomb: Intentional Grounding, 10 yards",3.180,1.290
3,7:37,2,20,SFO 46,0,9,William Green up the middle for 9 yards (tackle by Julian Peterson),1.290,1.820
3,6:56,3,11,SFO 37,0,9,Kelly Holcomb pass complete to Quincy Morgan for 12 yards (tackle by Dwaine Carpenter),1.820,3.910
3,6:11,1,10,SFO 25,0,9,Kelly Holcomb sacked by John Engelberger for -6 yards,3.910,2.550
3,5:32,2,16,SFO 31,0,9,Kelly Holcomb pass incomplete intended for Kevin Johnson,2.550,1.880
3,5:27,3,16,SFO 31,0,9,Kelly Holcomb pass incomplete,1.880,1.320
3,5:12,4,16,SFO 31,0,9,Phil Dawson 48 yard field goal no good,1.320,-1.470
3,5:07,1,10,SFO 38,0,9,Kevan Barlow right tackle for 2 yards (tackle by Anthony Henry and Barry Gardner),1.470,1.190
3,4:30,2,8,SFO 40,0,9,Jeff Garcia pass complete to Tai Streets for 9 yards (tackle by Daylon McCutcheon),1.190,2.190
3,3:49,1,10,SFO 49,0,9,Jeff Garcia pass incomplete intended for Tai Streets,2.190,1.650
3,3:43,2,10,SFO 49,0,9,Kevan Barlow left end for 7 yards (tackle by Earl Little),1.650,1.880
3,3:12,3,3,CLE 44,0,9,Jeff Garcia pass complete to Fred Beasley for 5 yards (tackle by Andra Davis and Anthony Henry),1.880,2.980
3,2:27,1,10,CLE 39,0,9,Jeff Garcia up the middle for 15 yards (tackle by Andra Davis),2.980,3.970
3,1:40,1,10,CLE 24,0,9,Garrison Hearst right tackle for 1 yard (tackle by Ben Taylor),3.970,3.570
3,1:40,2,9,CLE 23,0,9,"Penalty on SFO: Illegal Substitution, 5 yards (no play)",3.570,2.890
3,0:51,2,14,CLE 28,0,9,Jeff Garcia pass complete to Jed Weaver for 6 yards (tackle by Andra Davis),2.890,3.010
3,0:11,3,8,CLE 22,0,9,Jeff Garcia up the middle for 4 yards (tackle by Chaun Thompson and Orpheus Roye),3.010,2.320
Quarter,Time,Down,ToGo,Location,CLE,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,4,CLE 18,0,12,Owen Pochman 36 yard field goal good,2.320,3.000
4,,,,SFO 30,0,12,"Owen Pochman kicks off 66 yards, returned by Andra Davis for 21 yards (tackle by Tony Parrish)",0.000,0.610
4,14:50,1,10,CLE 25,0,12,"Kelly Holcomb pass complete to Kevin Johnson for 6 yards (tackle by Julian Peterson). Penalty on Anthony Adams: Roughing the Passer, 15 yards",0.610,1.990
4,14:27,1,10,CLE 46,0,12,Kelly Holcomb pass complete to Steve Heiden for 7 yards (tackle by Zack Bronson and Jeff Ulbrich),1.990,2.400
4,13:51,2,3,SFO 47,0,12,William Green up the middle for 5 yards (tackle by Jeff Ulbrich),2.400,2.790
4,13:09,1,10,SFO 42,0,12,Kelly Holcomb pass complete to Andre' Davis for 2 yards (tackle by Ahmed Plummer),2.790,2.510
4,12:22,2,8,SFO 40,0,12,Kelly Holcomb pass complete to Kevin Johnson for 10 yards (tackle by Derek Smith),2.510,3.580
4,11:42,1,10,SFO 30,0,12,"Kelly Holcomb pass incomplete intended for Quincy Morgan. Penalty on Mike Rumph: Defensive Pass Interference, 21 yards (no play)",3.580,5.140
4,11:35,1,9,SFO 9,0,12,William Green left end for 7 yards (tackle by Tony Parrish),5.140,5.720
4,10:53,2,2,SFO 2,0,12,Kelly Holcomb pass incomplete intended for Steve Heiden,5.720,4.950
4,10:47,3,2,SFO 2,6,12,"Kelly Holcomb pass complete to Andre' Davis for 2 yards, touchdown. Penalty on Julian Peterson: Defensive Offside (Declined)",4.950,7.000
4,,,,SFO 2,7,12,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,7,12,"Phil Dawson kicks off 67 yards, returned by Cedrick Wilson for 14 yards (tackle by Chaun Thompson)",0.000,-0.060
4,10:37,1,10,SFO 17,7,12,Jeff Garcia pass incomplete intended for Tai Streets (defended by Andra Davis),-0.060,-0.580
4,10:37,2,10,SFO 17,7,12,Garrison Hearst up the middle for -1 yards (tackle by Kenard Lang),-0.580,-1.410
4,9:52,3,11,SFO 16,7,12,"Penalty on Kwame Harris: False Start, 5 yards (no play)",-1.410,-2.120
4,9:31,3,16,SFO 11,7,12,Jeff Garcia pass complete to Terrell Owens for 9 yards (tackle by Daylon McCutcheon),-2.120,-2.030
4,8:47,4,7,SFO 20,7,12,Bill LaFleur punts 54 yards,-2.030,-0.670
4,8:31,1,10,CLE 26,7,12,"Kelly Holcomb pass complete to Kevin Johnson for 5 yards (tackle by Ahmed Plummer). Penalty on Anthony Adams: Defensive Offside, 5 yards (no play)",0.670,1.400
4,8:17,1,5,CLE 31,7,12,William Green left tackle for 3 yards (tackle by John Engelberger),1.400,1.210
4,7:35,2,2,CLE 34,7,12,Kelly Holcomb pass incomplete intended for Jamel White is intercepted by Julian Peterson at SFO-45,1.210,-1.930
4,7:25,1,10,SFO 45,7,12,"Jeff Garcia pass incomplete intended for Tai Streets. Penalty on Barry Gardner: Roughing the Passer, 15 yards (no play)",1.930,2.920
4,7:21,1,10,CLE 40,7,12,Jeff Garcia pass incomplete intended for Tai Streets,2.920,2.370
4,7:16,2,10,CLE 40,7,12,Kevan Barlow left guard for no gain (tackle by Andra Davis and Kenard Lang),2.370,1.680
4,6:32,3,10,CLE 40,7,12,Jeff Garcia pass incomplete intended for Cedrick Wilson,1.680,0.590
4,6:27,4,10,CLE 40,7,12,"Bill LaFleur punts 31 yards, fair catch by Andra Davis",0.590,0.380
4,6:19,1,10,CLE 9,7,12,William Green right end for no gain (tackle by Jamie Winborn),-0.380,-0.780
4,5:40,2,10,CLE 9,7,12,Kelly Holcomb pass complete to Kevin Johnson for 9 yards (tackle by Ahmed Plummer),-0.780,-0.370
4,4:54,3,1,CLE 18,7,12,Kelly Holcomb pass complete to Kevin Johnson for 2 yards (tackle by Derek Smith),-0.370,0.280
4,4:18,1,10,CLE 20,7,12,Kelly Holcomb up the middle for no gain (tackle by Jamie Winborn),0.280,-0.270
4,3:45,2,10,CLE 20,7,12,Kelly Holcomb pass complete to Steve Heiden for 9 yards (tackle by Dwaine Carpenter and Julian Peterson),-0.270,0.230
4,3:37,3,1,CLE 29,7,12,Kelly Holcomb pass complete to Andre' Davis for 7 yards (tackle by Julian Peterson),0.230,1.330
4,2:59,1,10,CLE 36,7,12,Kelly Holcomb pass complete to Kevin Johnson for 8 yards (tackle by Ahmed Plummer),1.330,1.870
4,2:21,2,2,CLE 44,7,12,"Penalty on Melvin Fowler: False Start, 5 yards (no play)",1.870,1.200
4,2:19,,,,7,12,Timeout #1 by San Francisco 49ers,0.000,1.200
4,2:19,2,7,CLE 39,7,12,Kelly Holcomb pass complete to Jamel White for 3 yards (tackle by Dwaine Carpenter),1.200,0.890
4,2:00,3,4,CLE 42,7,12,Kelly Holcomb pass complete to Andre King for 6 yards (tackle by Jamie Winborn),0.890,2.130
4,1:39,1,10,CLE 48,7,12,Kelly Holcomb pass complete to Kevin Johnson for 7 yards (tackle by Ahmed Plummer),2.130,2.530
4,1:23,2,3,SFO 45,7,12,Kelly Holcomb pass complete to Kevin Johnson for 6 yards (tackle by Ronnie Heard),2.530,2.980
4,1:17,,,,7,12,Timeout #2 by San Francisco 49ers,0.000,2.980
4,1:17,1,10,SFO 39,7,12,Kelly Holcomb pass complete to Steve Heiden for 9 yards (tackle by Dwaine Carpenter),2.980,3.660
4,1:11,2,1,SFO 30,7,12,Jamel White left end for no gain (tackle by Jamie Winborn),3.660,2.940
4,0:49,3,1,SFO 30,7,12,"Kelly Holcomb pass complete to Kevin Johnson for 19 yards (tackle by Ahmed Plummer). Jeff Faine fumbles, recovered by Kelly Holcomb at SFO-30",2.940,4.840
4,0:44,1,10,SFO 11,7,12,Kelly Holcomb pass incomplete intended for Kevin Johnson,4.840,4.140
4,0:39,,,,7,12,Timeout #1 by Cleveland Browns,0.000,4.140
4,0:39,2,10,SFO 11,7,12,Kelly Holcomb pass incomplete intended for Quincy Morgan (defended by Zack Bronson),4.140,3.130
4,0:34,3,10,SFO 11,13,12,"Kelly Holcomb pass complete to Andre' Davis for 11 yards, touchdown",3.130,7.000
4,0:29,,,,13,12,Timeout #2 by Cleveland Browns,0.000,0.000
4,,,,,13,12,"Two Point Attempt: Kelly Holcomb pass incomplete, conversion fails",1.000,-1.000
4,,,,CLE 30,13,12,"Phil Dawson kicks off 69 yards, returned by Cedrick Wilson for 18 yards (tackle by Brant Boyer)",0.000,0.150
4,0:24,1,10,SFO 19,13,12,Jeff Garcia pass incomplete intended for Terrell Owens,0.150,-0.390
4,0:20,2,10,SFO 19,13,12,Jeff Garcia pass incomplete intended for Terrell Owens,-0.390,-1.070
4,0:15,3,10,SFO 19,13,12,"Jeff Garcia up the middle for 2 yards. Penalty on Jeff Garcia: Illegal Forward Pass, 5 yards",-1.070,-2.390
4,0:07,,,,13,12,Timeout #3 by Cleveland Browns,0.000,-2.390
4,0:07,4,13,SFO 16,13,12,Jeff Garcia pass incomplete intended for Terrell Owens is intercepted by Anthony Henry at SFO-46 and returned for 19 yards (tackle by Jeremy Newberry),-2.390,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
