#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:06,MIA 49,7,2:37,40,Interception
2,1,6:44,IND 25,3,1:35,4,Punt
3,2,14:47,IND 3,9,5:04,56,Punt
4,2,6:58,IND 47,4,1:33,9,Downs
5,2,3:38,IND 20,1,0:12,0,Interception
6,2,1:52,IND 25,3,0:27,0,Punt
7,2,0:15,IND 23,1,0:15,-1,End of Half
8,3,15:00,IND 25,3,0:59,2,Punt
9,3,12:14,IND 37,10,4:24,56,Field Goal
10,3,5:41,MIA 49,10,5:03,28,Field Goal
11,4,14:54,MIA 34,7,3:24,34,Touchdown
12,4,5:45,IND 25,1,0:08,0,Interception
13,4,3:31,IND 25,12,2:51,67,Downs
