Unnamed: 0,MIA,IND
First Downs,13,19
Rush-Yds-TDs,26-70-1,29-109-0
Cmp-Att-Yd-TD-INT,21-33-169-0-1,18-39-204-1-3
Sacked-Yards,3-10,1-13
Net Pass Yards,159,191
Total Yards,229,300
Fumbles-Lost,1-1,1-0
Turnovers,2,3
Penalties-Yards,4-30,3-25
Third Down Conv.,6-16,5-13
Fourth Down Conv.,1-2,0-2
Time of Possession,31:28,28:32
