Quarter,Time,Tm,Detail,MIA,IND
1.0,6:44,Dolphins,Jason Sanders 47 yard field goal,3,0
2.0,1:52,Dolphins,Ryan Fitzpatrick 11 yard rush (Jason Sanders kick),10,0
3.0,7:50,Colts,Adam Vinatieri 25 yard field goal,10,3
,0:38,Colts,Adam Vinatieri 39 yard field goal,10,6
4.0,11:30,Colts,Jack Doyle 1 yard pass from Brian Hoyer (Adam Vinatieri kick failed),10,12
,5:45,Dolphins,Jason Sanders 48 yard field goal,13,12
,3:31,Dolphins,Jason Sanders 48 yard field goal,16,12
