Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 62 yards, returned by Lorenzo Booker for 32 yards (tackle by Rashied Davis)",0.000,1.600
1,14:51,1,10,MIN 40,0,0,Toby Gerhart left tackle for 3 yards (tackle by Nick Roach),1.600,1.460
1,14:08,2,7,MIN 43,0,0,Toby Gerhart left guard for 6 yards (tackle by Anthony Adams and Nick Roach),1.460,1.550
1,13:31,3,1,MIN 49,0,0,Toby Gerhart left tackle for 9 yards (tackle by Chris Harris and Danieal Manning),1.550,2.790
1,12:49,1,10,CHI 42,0,0,Brett Favre pass complete short right to Percy Harvin for 11 yards (tackle by Lance Briggs),2.790,3.510
1,12:10,1,10,CHI 31,0,0,Toby Gerhart middle for 8 yards (tackle by Danieal Manning),3.510,4.050
1,11:29,2,2,CHI 23,0,6,"Brett Favre pass complete short left to Percy Harvin for 23 yards, touchdown. Penalty on Matt Toeaina: Defensive Offside (Declined)",4.050,7.000
1,,,,CHI 2,0,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,0,7,"Ryan Longwell kicks off 55 yards, returned by Danieal Manning for 19 yards (tackle by Husain Abdullah)",0.000,1.200
1,11:17,1,10,CHI 34,0,7,Matt Forte right guard for 7 yards (tackle by Ben Leber and Chad Greenway),1.200,1.600
1,10:43,2,3,CHI 41,0,7,Matt Forte middle for 1 yard (tackle by Ray Edwards and Pat Williams),1.600,1.030
1,10:02,3,2,CHI 42,0,7,Jay Cutler pass complete short right to Earl Bennett for 8 yards (tackle by E.J. Henderson),1.030,2.260
1,9:23,1,10,,0,7,Jay Cutler pass incomplete (defended by Kevin Williams),2.260,1.710
1,9:17,2,10,,0,7,"Jay Cutler pass complete short left to Earl Bennett for 6 yards (tackle by Antoine Winfield). Earl Bennett fumbles (forced by Antoine Winfield), recovered by Greg Olsen at MIN-44",1.710,1.820
1,8:27,,,,0,7,Timeout #1 by Chicago Bears,0.000,1.820
1,8:27,3,4,MIN 44,0,7,Jay Cutler pass incomplete short middle intended for Devin Hester,1.820,0.330
1,8:24,4,4,MIN 44,0,7,"Brad Maynard punts 30 yards, fair catch by Greg Camarillo",0.330,0.280
1,8:17,1,10,MIN 14,0,7,Toby Gerhart right guard for no gain (tackle by Lance Briggs and Anthony Adams),-0.280,-0.750
1,7:41,2,10,MIN 14,0,7,"Brett Favre pass incomplete deep right intended for Sidney Rice is intercepted by Tim Jennings at CHI-47. Penalty on Julius Peppers: Defensive Offside, 5 yards (no play)",-0.750,-0.040
1,7:33,2,5,MIN 19,0,7,Toby Gerhart left guard for no gain (tackle by Chris Harris),-0.040,-0.800
1,6:51,3,5,MIN 19,0,7,Brett Favre pass incomplete short middle intended for Toby Gerhart is intercepted by Julius Peppers at MIN-15 and returned for 1 yard,-0.800,-4.650
1,6:43,1,10,MIN 14,0,7,Jay Cutler pass complete short right to Greg Olsen for 2 yards (tackle by Antoine Winfield),4.650,4.330
1,6:09,2,8,MIN 12,0,7,Matt Forte right tackle for 1 yard (tackle by E.J. Henderson and Pat Williams),4.330,3.620
1,5:25,3,7,MIN 11,0,7,Jay Cutler pass incomplete short left intended for Johnny Knox,3.620,2.700
1,5:22,4,7,MIN 11,3,7,Robbie Gould 29 yard field goal good,2.700,3.000
1,,,,CHI 30,3,7,"Robbie Gould kicks off 65 yards, returned by Lorenzo Booker for 26 yards (tackle by Brian Iwuh)",0.000,1.000
1,5:11,1,10,MIN 31,3,7,"Toby Gerhart right guard for no gain (tackle by Lance Briggs). Penalty on Visanthe Shiancoe: Offensive Holding, 10 yards (no play)",1.000,0.340
1,4:42,1,20,MIN 21,3,7,Toby Gerhart middle for 1 yard (tackle by Julius Peppers and Lance Briggs),0.340,-0.760
1,3:59,2,19,MIN 22,3,7,Brett Favre pass complete short middle to Visanthe Shiancoe for 11 yards (tackle by Brian Urlacher),-0.760,0.040
1,3:21,3,8,MIN 33,3,7,"Brett Favre for no gain. Brett Favre fumbles, recovered by Brett Favre at MIN-11",0.040,-2.490
1,2:57,4,30,MIN 11,3,7,Chris Kluwe punts 36 yards,-2.490,-2.460
1,2:50,1,10,MIN 47,3,7,"Chester Taylor left tackle for 1 yard (tackle by Jared Allen). Penalty on Chris Williams: Illegal Use of Hands, 10 yards (no play)",2.460,1.800
1,2:31,1,20,CHI 43,3,7,"Jay Cutler pass complete short left to Chester Taylor for 19 yards (tackle by Chad Greenway). Penalty on Olin Kreutz: Offensive Holding, 10 yards (no play)",1.800,1.140
1,2:04,1,30,CHI 33,9,7,"Jay Cutler pass complete deep right to Johnny Knox for 67 yards, touchdown",1.140,7.000
1,,,,MIN 2,10,7,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,10,7,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
1,1:55,1,10,MIN 20,10,7,Toby Gerhart left end for 21 yards (tackle by Major Wright),0.280,1.660
1,1:11,1,10,MIN 41,10,7,Brett Favre pass complete short middle to Jim Kleinsasser for 6 yards (tackle by Brian Urlacher),1.660,1.930
1,0:33,2,4,MIN 47,10,7,Toby Gerhart middle for 2 yards (tackle by Julius Peppers and Chris Harris),1.930,1.490
Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,MIN 49,10,7,Toby Gerhart left guard for 1 yard (tackle by Chris Harris),1.490,-0.060
