Unnamed: 0,CHI,MIN
First Downs,17,16
Rush-Yds-TDs,33-104-0,24-114-1
Cmp-Att-Yd-TD-INT,14-24-194-3-1,20-33-192-1-3
Sacked-Yards,1-5,4-33
Net Pass Yards,189,159
Total Yards,293,273
Fumbles-Lost,1-0,4-2
Turnovers,1,5
Penalties-Yards,5-72,6-55
Third Down Conv.,2-10,3-11
Fourth Down Conv.,0-1,0-1
Time of Possession,31:30,28:30
