Quarter,Time,Tm,Detail,CHI,MIN
1.0,11:22,Vikings,Percy Harvin 23 yard pass from Brett Favre (Ryan Longwell kick),0,7
,5:18,Bears,Robbie Gould 29 yard field goal,3,7
,1:55,Bears,Johnny Knox 67 yard pass from Jay Cutler (Robbie Gould kick),10,7
2.0,6:54,Bears,Devin Hester 15 yard pass from Jay Cutler (Robbie Gould kick),17,7
3.0,14:06,Bears,Robbie Gould 23 yard field goal,20,7
,12:06,Bears,Devin Hester 64 yard punt return (Robbie Gould kick),27,7
,9:47,Vikings,Joe Webb 13 yard rush (Ryan Longwell kick),27,14
,5:16,Bears,Rashied Davis 9 yard pass from Jay Cutler (Robbie Gould kick),34,14
,0:38,Bears,Robbie Gould 34 yard field goal,37,14
4.0,7:03,Bears,Robbie Gould 20 yard field goal,40,14
