Quarter,Time,Tm,Detail,HOU,JAX
1,8:38,Jaguars,Montell Owens 41 yard rush (Josh Scobee kick),0,7
,0:07,Texans,Kris Brown 27 yard field goal,3,7
2,4:47,Texans,Steve Slaton 30 yard pass from Matt Schaub (Kris Brown kick),10,7
,0:19,Jaguars,Josh Scobee 46 yard field goal,10,10
3,10:53,Jaguars,Matt Jones 16 yard pass from David Garrard (Josh Scobee kick),10,17
,5:15,Texans,Kevin Walter 5 yard pass from Matt Schaub (Kris Brown kick),17,17
4,13:40,Jaguars,Josh Scobee 40 yard field goal,17,20
,7:06,Texans,Kevin Walter 8 yard pass from Matt Schaub (Kris Brown kick),24,20
,1:48,Jaguars,David Garrard 5 yard rush (Josh Scobee kick),24,27
,0:01,Texans,Kris Brown 47 yard field goal,27,27
OT,11:25,Jaguars,Josh Scobee 37 yard field goal,27,30
