Unnamed: 0,HOU,JAX
First Downs,23,21
Rush-Yds-TDs,23-79-0,25-139-2
Cmp-Att-Yd-TD-INT,29-40-307-3-0,23-32-236-1-0
Sacked-Yards,0-0,1-0
Net Pass Yards,307,236
Total Yards,386,375
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,2-15,2-27
Third Down Conv.,9-13,6-12
Fourth Down Conv.,0-0,2-2
Time of Possession,32:20,31:15
