Unnamed: 0,GNB,ATL
First Downs,24,19
Rush-Yds-TDs,15-59-1,27-141-2
Cmp-Att-Yd-TD-INT,33-50-343-2-1,19-28-252-1-0
Sacked-Yards,3-35,3-29
Net Pass Yards,308,223
Total Yards,367,364
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,10-70,6-34
Third Down Conv.,5-12,5-11
Fourth Down Conv.,3-3,0-0
Time of Possession,31:23,28:37
