Quarter,Time,Tm,Detail,GNB,ATL
1.0,9:51,Falcons,Devonta Freeman 1 yard rush (Matt Bryant kick),0,7
,3:43,Packers,Ty Montgomery 1 yard rush (Mason Crosby kick),7,7
2.0,11:10,Falcons,Devonta Freeman 2 yard rush (Matt Bryant kick),7,14
,3:21,Falcons,Matt Bryant 51 yard field goal,7,17
,0:19,Falcons,Tevin Coleman 3 yard pass from Matt Ryan (Matt Bryant kick),7,24
3.0,14:04,Falcons,Desmond Trufant 15 yard fumble return (Matt Bryant kick),7,31
,9:33,Packers,Mason Crosby 28 yard field goal,10,31
,4:19,Falcons,Matt Bryant 53 yard field goal,10,34
4.0,12:42,Packers,Davante Adams 33 yard pass from Aaron Rodgers (pass failed),16,34
,5:51,Packers,Ty Montgomery 1 yard pass from Aaron Rodgers (Mason Crosby kick),23,34
