Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",,
1,15:00,1,10,DEN 25,0,0,Melvin Gordon up the middle for 4 yards (tackle by Denzel Perryman),,
1,14:23,2,6,DEN 29,0,0,Drew Lock pass complete short middle to Courtland Sutton for 5 yards (tackle by Desmond Trufant),,
1,13:46,3,1,DEN 34,0,0,Drew Lock up the middle for 5 yards (tackle by Darius Philon),,
1,13:08,1,10,DEN 39,0,0,Drew Lock pass incomplete deep right intended for Courtland Sutton,,
1,13:00,2,10,DEN 39,0,0,Melvin Gordon left tackle for 1 yard (tackle by Darius Philon),,
1,12:23,3,9,DEN 40,0,0,Drew Lock pass complete short right to Noah Fant for 2 yards (tackle by Desmond Trufant),,
1,11:47,4,7,DEN 42,0,0,Sam Martin punts 54 yards out of bounds,,
1,11:38,1,10,LVR 4,0,0,Derek Carr pass complete short left to DeSean Jackson for 8 yards (tackle by Ronald Darby),,
1,11:13,2,2,LVR 12,0,0,"Josh Jacobs left end for no gain (tackle by Jonas Griffith). Penalty on John Simpson: Offensive Holding, 6 yards (accepted) (no play)",,
1,10:46,2,8,LVR 6,0,0,Derek Carr pass complete short right to DeSean Jackson for 5 yards (tackle by Patrick Surtain),,
1,10:08,3,3,LVR 11,0,0,Derek Carr pass complete short left to Foster Moreau for 16 yards (tackle by Patrick Surtain),,
1,9:31,1,10,LVR 27,0,0,Derek Carr pass incomplete short right intended for Zay Jones (defended by Ronald Darby),,
1,9:26,2,10,LVR 27,0,0,Derek Carr pass complete deep middle to Hunter Renfrow for 18 yards (tackle by Justin Simmons),,
1,9:00,1,10,LVR 45,0,0,Josh Jacobs left guard for 3 yards (tackle by Jonas Griffith and Mike Purcell),,
1,8:23,2,7,LVR 48,0,0,Josh Jacobs up the middle for 3 yards (tackle by Jonas Griffith),,
1,7:34,3,4,DEN 49,0,0,Derek Carr pass incomplete short left intended for Zay Jones,,
1,7:29,4,4,DEN 49,0,0,"AJ Cole punts 38 yards, fair catch by Diontae Spencer at DEN-11",,
1,7:22,1,10,DEN 11,0,0,Melvin Gordon right tackle for 1 yard (tackle by Denzel Perryman),,
1,6:46,2,9,DEN 12,0,0,"Drew Lock pass complete short middle to Javonte Williams for 7 yards (tackle by Keisean Nixon). Penalty on Clelin Ferrell: Roughing the Passer, 15 yards (accepted)",,
1,6:24,1,10,DEN 34,0,0,Javonte Williams right tackle for 1 yard (tackle by Solomon Thomas),,
1,5:46,2,9,DEN 35,0,0,Drew Lock pass incomplete deep right intended for Albert Okwuegbunam,,
1,5:40,3,9,DEN 35,0,0,"Drew Lock pass incomplete deep left intended for Jerry Jeudy. Penalty on Casey Hayward: Defensive Pass Interference, 16 yards (accepted) (no play)",,
1,5:35,1,10,LVR 49,0,0,Drew Lock sacked by Maxx Crosby for -7 yards,,
1,4:45,2,17,DEN 44,0,0,Javonte Williams up the middle for 3 yards (tackle by Quinton Jefferson),,
1,4:06,3,14,DEN 47,0,0,Drew Lock pass complete short right to Javonte Williams for 1 yard (tackle by Maxx Crosby and Dallin Leavitt),,
1,3:38,4,13,DEN 48,0,0,Sam Martin punts 28 yards out of bounds,,
1,3:25,1,10,LVR 24,0,0,Josh Jacobs right tackle for 7 yards (tackle by DeShawn Williams and Baron Browning),,
1,2:49,2,2,LVR 32,0,0,Derek Carr pass incomplete short left intended for DeSean Jackson,,
1,2:45,3,3,LVR 31,0,0,Derek Carr scrambles left end for 4 yards (tackle by Shelby Harris),,
1,2:07,1,10,LVR 35,0,0,Derek Carr pass incomplete short left intended for Josh Jacobs,,
1,2:01,2,10,LVR 35,0,0,Josh Jacobs right guard for 6 yards (tackle by Shamar Stephen),,
1,1:25,3,4,LVR 41,0,0,Derek Carr pass complete short middle to Zay Jones for 6 yards (tackle by Bryce Callahan),,
1,0:44,1,10,LVR 47,0,0,Derek Carr pass complete short right to Zay Jones for 4 yards (tackle by Jonas Griffith and Patrick Surtain),,
Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,DEN 49,0,0,Josh Jacobs left guard for 4 yards (tackle by Malik Reed and DeShawn Williams),,
2,14:19,3,2,DEN 44,0,0,Josh Jacobs left tackle for 4 yards (tackle by Jonas Griffith and Baron Browning),,
2,13:42,1,10,DEN 41,0,0,Peyton Barber up the middle for 3 yards (tackle by Jonas Griffith),,
2,13:07,2,7,DEN 38,0,0,Derek Carr pass complete short left to Peyton Barber for no gain (tackle by Jonas Griffith),,
2,12:31,3,7,DEN 38,0,0,Derek Carr pass incomplete intended for Foster Moreau (no play),,
2,12:23,1,10,DEN 23,0,0,Derek Carr pass complete short middle to Zay Jones for 15 yards (tackle by Ronald Darby),,
2,11:47,1,8,DEN 8,0,0,Josh Jacobs right guard for -2 yards (tackle by Jonas Griffith),,
2,11:07,2,10,DEN 10,0,6,"Derek Carr pass complete short left to Hunter Renfrow for 10 yards, touchdown",,
2,11:01,,,DEN 15,0,7,Daniel Carlson kicks extra point good,,
2,11:01,,,LVR 35,0,7,"Daniel Carlson kicks off 65 yards, touchback.",,
2,11:01,1,10,DEN 25,0,7,Drew Lock pass complete deep right to Jerry Jeudy for 40 yards (tackle by Trevon Moehrig and Divine Deablo),,
2,10:14,1,10,LVR 35,0,7,"Drew Lock pass complete short left to Javonte Williams for no gain (tackle by Yannick Ngakoue). Penalty on Garett Bolles: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",,
2,9:52,1,20,LVR 45,0,7,Melvin Gordon left guard for 1 yard (tackle by Darius Philon),,
2,9:14,2,19,LVR 44,0,7,"Penalty on Bobby Massie: False Start, 5 yards (accepted) (no play)",,
2,8:57,2,24,LVR 49,0,7,Drew Lock pass complete short right to Melvin Gordon for 4 yards (tackle by Keisean Nixon),,
2,8:14,3,20,LVR 45,0,7,Drew Lock pass complete short left to Jerry Jeudy for 14 yards (tackle by Casey Hayward),,
2,7:30,4,6,LVR 31,3,7,Brandon McManus 49 yard field goal good,,
2,7:24,,,DEN 35,3,7,"Brandon McManus kicks off 65 yards, touchback.",,
2,7:24,1,10,LVR 25,3,7,Derek Carr pass complete short right to Foster Moreau for 20 yards (tackle by Jonas Griffith),,
2,6:42,1,10,LVR 45,3,7,Josh Jacobs right tackle for no gain (tackle by Shelby Harris and Jonas Griffith),,
2,6:00,2,10,LVR 45,3,7,Derek Carr pass complete short right to Josh Jacobs for -5 yards (tackle by Jonas Griffith),,
2,5:19,3,15,LVR 40,3,7,Derek Carr pass complete short left to Jalen Richard for 5 yards (tackle by Ronald Darby and Baron Browning),,
2,4:36,4,10,LVR 45,3,7,AJ Cole punts 47 yards downed by Nate Hobbs,,
2,4:26,1,10,DEN 8,3,7,Drew Lock pass incomplete deep right intended for Tim Patrick,,
2,4:20,2,10,DEN 8,3,7,Javonte Williams right guard for 3 yards (tackle by Solomon Thomas and Carl Nassib),,
2,3:35,3,7,DEN 11,3,7,Drew Lock pass complete short left to Jerry Jeudy for 6 yards (tackle by Denzel Perryman),,
2,2:53,4,1,DEN 17,3,7,"Sam Martin punts 56 yards, returned by Hunter Renfrow for 6 yards (tackle by P.J. Locke)",,
2,2:44,1,10,LVR 33,3,7,Derek Carr pass complete short left to Zay Jones for 7 yards (tackle by Kareem Jackson),,
2,2:09,2,3,LVR 40,3,7,"Josh Jacobs right guard for no gain. Josh Jacobs fumbles, recovered by Mike Purcell at LV-41",,
2,2:00,1,10,LVR 41,3,7,Drew Lock pass complete short left to Courtland Sutton for 8 yards (tackle by Desmond Trufant),,
2,1:27,2,2,LVR 33,3,7,Melvin Gordon up the middle for -4 yards (tackle by Darius Philon),,
2,0:44,3,6,LVR 37,3,7,Drew Lock pass incomplete short right intended for Jerry Jeudy,,
2,0:37,4,6,LVR 37,6,7,Brandon McManus 55 yard field goal good,,
2,0:32,,,DEN 35,6,7,"Brandon McManus kicks off 62 yards, returned by Jalen Richard for 23 yards (tackle by Micah Kiser)",,
