Unnamed: 0,DEN,LVR
First Downs,8,22
Rush-Yds-TDs,16-18-1,40-160-1
Cmp-Att-Yd-TD-INT,15-22-153-0-0,20-25-201-1-1
Sacked-Yards,2-13,2-19
Net Pass Yards,140,182
Total Yards,158,342
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,3-30,3-37
Third Down Conv.,1-10,6-12
Fourth Down Conv.,1-1,1-1
Time of Possession,23:23,36:37
