Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Patrick Surtain II,DEN,0,5,5,100.0%,55,11.0,11.0,0,112.5,7.2,36,19,0,0,0,0.0,0,4,0,0.0%
Ronald Darby,DEN,0,7,5,71.4%,60,12.0,8.6,0,97.3,8.9,46,14,0,0,0,0.0,0,6,0,0.0%
Jonas Griffith,DEN,0,3,3,100.0%,15,5.0,5.0,0,87.5,1.7,5,10,2,0,0,0.0,0,13,1,7.1%
Kareem Jackson,DEN,0,3,3,100.0%,45,15.0,15.0,1,158.3,7.7,23,22,0,0,0,0.0,0,5,0,0.0%
Bryce Callahan,DEN,0,2,1,50.0%,18,18.0,9.0,0,81.2,7.0,14,4,1,1,0,0.0,1,2,2,50.0%
Baron Browning,DEN,0,3,1,33.3%,5,5.0,1.7,0,42.4,1.0,2,3,1,0,0,0.0,0,9,1,10.0%
Justin Simmons,DEN,0,1,1,100.0%,3,3.0,3.0,0,79.2,2.0,2,1,0,0,0,0.0,0,5,1,16.7%
Shelby Harris,DEN,0,0,0,,,,,,,,,,0,0,1,1.5,3,5,0,0.0%
Bradley Chubb,DEN,1,1,0,0.0%,,,0.0,,0.0,-4.0,,,2,1,1,0.0,2,5,2,28.6%
Stephen Weatherly,DEN,0,0,0,,,,,,,,,,0,0,0,0.5,1,4,0,0.0%
Malik Reed,DEN,0,0,0,,,,,,,,,,2,1,0,0.0,1,4,2,33.3%
Jonathon Cooper,DEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Desmond Trufant,LVR,0,10,7,70.0%,60,8.6,6.0,0,85.4,12.4,57,3,0,0,0,0.0,0,7,0,0.0%
Denzel Perryman,LVR,0,5,3,60.0%,21,7.0,4.2,0,69.6,8.8,14,7,0,0,0,0.0,0,5,1,16.7%
Casey Hayward,LVR,0,2,2,100.0%,27,13.5,13.5,0,118.7,13.5,27,0,0,0,0,0.0,0,2,0,0.0%
Divine Deablo,LVR,0,1,1,100.0%,40,40.0,40.0,0,118.7,19.0,19,21,1,1,0,0.0,1,1,0,0.0%
Keisean Nixon,LVR,0,2,1,50.0%,4,4.0,2.0,0,56.2,2.5,-5,9,4,0,0,0.0,0,3,1,25.0%
Tyree Gillespie,LVR,0,1,1,100.0%,1,1.0,1.0,0,79.2,-7.0,-7,8,0,0,0,0.0,0,1,0,0.0%
Quinton Jefferson,LVR,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%
Maxx Crosby,LVR,0,0,0,,,,,,,,,,0,1,0,1.0,2,3,0,0.0%
Yannick Ngakoue,LVR,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Solomon Thomas,LVR,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Dallin Leavitt,LVR,0,1,0,0.0%,,,0.0,,39.6,34.0,,,0,0,0,0.0,0,1,0,0.0%
Cory Littleton,LVR,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
