Quarter,Time,Tm,Detail,ATL,NOR
1.0,8:32,Falcons,Tony Gonzalez 7 yard pass from Matt Ryan (Matt Bryant kick),7,0
,1:28,Falcons,Matt Bryant 23 yard field goal,10,0
2.0,10:53,Saints,Garrett Hartley 48 yard field goal,10,3
,9:10,Saints,Marques Colston 25 yard pass from Drew Brees (Garrett Hartley kick),10,10
,1:47,Saints,Garrett Hartley 31 yard field goal,10,13
3.0,11:41,Falcons,Julio Jones 4 yard pass from Matt Ryan (Matt Bryant kick),17,13
,6:22,Saints,Jimmy Graham 7 yard pass from Drew Brees (Garrett Hartley kick),17,20
4.0,3:12,Saints,Garrett Hartley 22 yard field goal,17,23
