Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Najee Harris right tackle for no gain (tackle by Jordan Davis and Marcus Epps),0.610,0.060
1,14:33,2,10,PIT 25,0,0,Kenny Pickett scrambles up the middle for 1 yard (tackle by Javon Hargrave),0.060,-0.490
1,13:51,3,9,PIT 26,0,0,Kenny Pickett sacked by Haason Reddick for -8 yards,-0.490,-2.240
1,13:19,4,17,PIT 18,0,0,"Pressley Harvin punts 55 yards, returned by Britain Covey for 5 yards (tackle by Miles Boykin)",-2.240,-1.070
1,13:09,1,10,PHI 32,0,0,Jalen Hurts pass incomplete short right intended for DeVonta Smith,1.070,0.530
1,13:04,2,10,PHI 32,0,0,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Ahkello Witherspoon),0.530,1.030
1,12:37,3,1,PHI 41,0,0,Miles Sanders right end for 7 yards (tackle by Ahkello Witherspoon),1.030,2.130
1,11:58,1,10,PHI 48,0,0,Miles Sanders left guard for 1 yard (tackle by Isaiahh Loudermilk),2.130,1.720
1,11:37,2,9,PHI 49,0,0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Cameron Sutton),1.720,1.020
1,11:33,3,9,PHI 49,0,0,Jalen Hurts pass complete short right to Dallas Goedert for 7 yards (tackle by Malik Reed and Minkah Fitzpatrick),1.020,0.330
1,10:52,4,2,PIT 44,0,0,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Terrell Edmunds),0.330,2.980
1,10:12,1,10,PIT 39,0,0,Jalen Hurts pass complete short right to DeVonta Smith for no gain (tackle by Ahkello Witherspoon and Arthur Maulet),2.980,2.440
1,9:31,2,10,PIT 39,0,6,"Jalen Hurts pass complete deep middle to A.J. Brown for 39 yards, touchdown",2.440,7.000
1,9:23,,,PIT 15,0,7,Jake Elliott kicks extra point good,0.000,0.000
1,9:23,,,PHI 35,0,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,9:23,1,10,PIT 25,0,7,Kenny Pickett pass complete short right to Derek Watt for 5 yards (tackle by Kyzir White),0.610,0.740
1,8:49,2,5,PIT 30,0,7,"Kenny Pickett pass complete short left to Diontae Johnson for no gain. Penalty on Kevin Dotson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.740,0.060
1,8:16,2,10,PIT 25,0,7,Kenny Pickett pass complete short left to Diontae Johnson for 14 yards (tackle by James Bradberry),0.060,1.530
1,7:41,1,10,PIT 39,0,7,Kenny Pickett pass complete short left to Chase Claypool for 8 yards (tackle by James Bradberry),1.530,2.070
1,7:15,2,2,PIT 47,0,7,"Kenny Pickett pass incomplete short right. Penalty on Chukwuma Okorafor: Illegal Formation, 5 yards (accepted) (no play)",2.070,1.390
1,7:07,2,7,PIT 42,0,7,"Kenny Pickett sacked by. Penalty on James Bradberry: Defensive Holding, 5 yards (accepted) (no play)",1.390,2.060
1,6:58,1,10,PIT 47,0,7,"Penalty on PIT: Delay of Game, 5 yards (accepted) (no play)",2.060,1.730
1,6:58,1,15,PIT 42,0,7,Kenny Pickett pass complete short right to Steven Sims for 2 yards (tackle by Avonte Maddox),1.730,1.110
1,6:17,2,13,PIT 44,0,7,Jaylen Warren up the middle for 12 yards (tackle by T.J. Edwards and Kyzir White),1.110,2.020
1,5:51,3,1,PHI 44,0,7,Kenny Pickett up the middle for 2 yards (tackle by Fletcher Cox),2.020,2.790
1,5:14,1,10,PHI 42,0,7,Kenny Pickett pass complete short right to Zach Gentry for 3 yards (tackle by Kyzir White),2.790,2.650
1,4:40,2,7,PHI 39,0,7,Kenny Pickett pass complete deep middle to Pat Freiermuth for 21 yards (tackle by C.J. Gardner-Johnson),2.650,4.370
1,3:58,1,10,PHI 18,0,7,Kenny Pickett scrambles left end for 11 yards (tackle by C.J. Gardner-Johnson),4.370,5.600
1,3:21,1,7,PHI 7,0,7,Najee Harris up the middle for 1 yard (tackle by Marcus Epps and Javon Hargrave),5.600,4.950
1,2:42,2,6,PHI 6,0,7,Najee Harris pass complete short right to Diontae Johnson for 4 yards (tackle by Marcus Epps),4.950,4.950
1,2:05,3,2,PHI 2,0,7,Kenny Pickett pass incomplete short left intended for Diontae Johnson,4.950,3.250
1,2:01,4,2,PHI 2,0,7,"Penalty on Brandon Graham: Defensive Delay of Game, 1 yard (accepted) (no play)",3.250,3.550
1,2:01,4,1,PHI 1,6,7,"Chase Claypool pass complete short left to Derek Watt for 1 yard, touchdown",3.550,7.000
1,1:57,,,PHI 15,7,7,Nick Sciba kicks extra point good,0.000,0.000
1,1:57,,,PIT 35,7,7,"Nick Sciba kicks off 64 yards, returned by Britain Covey for 20 yards (tackle by Marcus Allen)",0.000,0.340
1,1:52,1,10,PHI 21,7,7,Jalen Hurts left guard for 8 yards (tackle by Terrell Edmunds),0.340,0.880
1,1:30,2,2,PHI 29,7,7,Jalen Hurts pass incomplete short middle intended for A.J. Brown (defended by Minkah Fitzpatrick),0.880,0.170
1,1:23,3,2,PHI 29,7,7,Kenneth Gainwell up the middle for 3 yards (tackle by Robert Spillane),0.170,1.070
1,0:46,1,10,PHI 32,7,7,Jalen Hurts pass incomplete deep left intended for Quez Watkins (defended by Cameron Sutton),1.070,0.530
1,0:40,2,10,PHI 32,7,7,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Ahkello Witherspoon),0.530,1.030
1,0:14,3,1,PHI 41,7,7,"Jalen Hurts for no gain. Penalty on Montravius Adams: Defensive Offside, 5 yards (accepted) (no play)",1.030,1.990
Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 46,7,7,Jalen Hurts pass incomplete short right intended for DeVonta Smith,1.990,1.450
2,14:52,2,10,PHI 46,7,7,Jalen Hurts pass complete short middle to DeVonta Smith for 9 yards (tackle by Ahkello Witherspoon and Terrell Edmunds),1.450,1.950
2,14:09,3,1,PIT 45,7,7,Jalen Hurts pass complete short left to Dallas Goedert for 16 yards (tackle by Minkah Fitzpatrick),1.950,3.640
