Unnamed: 0,PIT,PHI
First Downs,21,20
Rush-Yds-TDs,24-144-0,20-111-1
Cmp-Att-Yd-TD-INT,27-40-196-1-1,20-30-308-4-0
Sacked-Yards,6-38,3-18
Net Pass Yards,158,290
Total Yards,302,401
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,9-60,8-60
Third Down Conv.,1-12,7-12
Fourth Down Conv.,4-4,1-1
Time of Possession,34:18,25:42
