Quarter,Time,Tm,Detail,PIT,PHI
1.0,9:23,Eagles,A.J. Brown 39 yard pass from Jalen Hurts (Jake Elliott kick),0,7
,1:57,Steelers,Derek Watt 1 yard pass from Chase Claypool (Nick Sciba kick),7,7
2.0,12:48,Eagles,A.J. Brown 27 yard pass from Jalen Hurts (Jake Elliott kick),7,14
,6:21,Eagles,A.J. Brown 29 yard pass from Jalen Hurts (Jake Elliott kick),7,21
,1:02,Steelers,Nick Sciba 38 yard field goal,10,21
3.0,12:53,Eagles,Zach Pascal 34 yard pass from Jalen Hurts (Jake Elliott kick),10,28
,5:55,Steelers,Nick Sciba 29 yard field goal,13,28
4.0,12:40,Eagles,Miles Sanders 11 yard rush (Jake Elliott kick),13,35
