Unnamed: 0,IND,CIN
First Downs,28,23
Rush-Yds-TDs,30-92-3,26-164-2
Cmp-Att-Yd-TD-INT,24-40-365-3-1,25-38-335-2-1
Sacked-Yards,1-6,1-7
Net Pass Yards,359,328
Total Yards,451,492
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,4-30,9-85
Third Down Conv.,8-14,6-13
Fourth Down Conv.,1-1,0-2
Time of Possession,32:02,27:58
