Unnamed: 0,OAK,MIA
First Downs,20,23
Rush-Yds-TDs,27-84-2,18-86-0
Cmp-Att-Yd-TD-INT,21-30-300-1-1,34-42-311-3-0
Sacked-Yards,1-5,1-2
Net Pass Yards,295,309
Total Yards,379,395
Fumbles-Lost,3-1,2-1
Turnovers,2,1
Penalties-Yards,10-105,11-107
Third Down Conv.,8-15,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,30:56,29:04
