Quarter,Time,Tm,Detail,OAK,MIA
1.0,7:31,Raiders,Giorgio Tavecchio 36 yard field goal,3,0
2.0,10:37,Dolphins,Damien Williams 10 yard pass from Jay Cutler (Cody Parkey kick failed),3,6
,3:26,Raiders,Johnny Holton 44 yard pass from Derek Carr (Giorgio Tavecchio kick),10,6
,0:32,Dolphins,Cody Parkey 49 yard field goal,10,9
,0:00,Raiders,Giorgio Tavecchio 53 yard field goal,13,9
3.0,9:23,Raiders,Marshawn Lynch 22 yard rush (Giorgio Tavecchio kick),20,9
,6:34,Dolphins,Jarvis Landry 6 yard pass from Jay Cutler (Cody Parkey kick),20,16
4.0,4:37,Raiders,Marshawn Lynch 3 yard rush (Giorgio Tavecchio kick),27,16
,1:32,Dolphins,Julius Thomas 15 yard pass from Jay Cutler (Kenyan Drake run),27,24
