Quarter,Time,Tm,Detail,JAX,PIT
1.0,10:17,Steelers,Chris Boswell 29 yard field goal,0,3
2.0,12:19,Jaguars,Leonard Fournette 2 yard rush (Jason Myers kick),7,3
,0:03,Steelers,Chris Boswell 34 yard field goal,7,6
3.0,8:54,Steelers,Chris Boswell 20 yard field goal,7,9
,6:38,Jaguars,Telvin Smith 28 yard interception return (Jason Myers kick failed),13,9
,3:59,Jaguars,Barry Church 51 yard interception return (Jason Myers kick),20,9
4.0,6:43,Jaguars,Jason Myers 47 yard field goal,23,9
,1:47,Jaguars,Leonard Fournette 90 yard rush (Jason Myers kick),30,9
