Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,JAX 25,0,0,Leonard Fournette middle for 3 yards (tackle by Vince Williams and Mike Mitchell),0.610,0.470
1,14:14,2,7,JAX 28,0,0,Leonard Fournette middle for 2 yards (tackle by T.J. Watt),0.470,0.040
1,13:34,3,5,JAX 30,0,0,Blake Bortles pass incomplete short right intended for Allen Hurns,0.040,-1.370
1,13:30,4,5,JAX 30,0,0,"Brad Nortman punts 42 yards, fair catch by Antonio Brown",-1.370,-0.810
1,13:23,1,10,PIT 28,0,0,Ben Roethlisberger pass complete deep right to Antonio Brown for 49 yards (tackle by Jalen Ramsey),0.810,4.040
1,12:35,1,10,JAX 23,0,0,Ben Roethlisberger pass incomplete short right intended for Vance McDonald,4.040,3.500
1,12:32,2,10,JAX 23,0,0,Le'Veon Bell left guard for 10 yards (tackle by Abry Jones),3.500,4.710
1,11:50,1,10,JAX 13,0,0,Le'Veon Bell middle for 4 yards (tackle by Barry Church),4.710,4.770
1,11:08,2,6,JAX 9,0,0,Le'Veon Bell left end for -2 yards (tackle by Telvin Smith),4.770,3.450
1,10:27,3,8,JAX 11,0,0,Ben Roethlisberger pass incomplete short right intended for Martavis Bryant,3.450,2.700
1,10:21,4,8,JAX 11,0,3,Chris Boswell 29 yard field goal good,2.700,3.000
1,10:17,,,PIT 35,0,3,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
1,10:17,1,10,JAX 25,0,3,Blake Bortles pass complete short left to Leonard Fournette for 3 yards (tackle by Mike Mitchell),0.610,0.470
1,9:47,2,7,JAX 28,0,3,Leonard Fournette right tackle for no gain (tackle by Ryan Shazier and Javon Hargrave),0.470,-0.230
1,9:05,3,7,JAX 28,0,3,Blake Bortles pass complete deep left to Marqise Lee for 31 yards (tackle by Ryan Shazier and J.J. Wilcox),-0.230,2.850
1,8:17,1,10,PIT 41,0,3,Blake Bortles pass incomplete short middle intended for Marcedes Lewis,2.850,2.310
1,8:13,2,10,PIT 41,0,3,Leonard Fournette middle for 2 yards (tackle by Tyson Alualu),2.310,1.880
1,7:35,3,8,PIT 39,0,3,Blake Bortles pass incomplete deep right intended for Marqise Lee,1.880,0.660
1,7:31,4,8,PIT 39,0,3,Brad Nortman punts 35 yards,0.660,0.380
1,7:21,1,10,PIT 4,0,3,"Penalty on Martavis Bryant: False Start, 2 yards (no play)",-0.380,-0.460
1,7:21,1,12,PIT 2,0,3,Le'Veon Bell left guard for no gain (tackle by Calais Campbell and Abry Jones),-0.460,-0.930
1,6:46,2,12,PIT 2,0,3,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 8 yards (tackle by Telvin Smith),-0.930,-0.720
1,5:59,3,4,PIT 10,0,3,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 6 yards (tackle by Aaron Colvin),-0.720,-0.140
1,5:19,1,10,PIT 16,0,3,Ben Roethlisberger right end for 1 yard (tackle by Abry Jones),-0.140,-0.510
1,4:38,2,9,PIT 17,0,3,Le'Veon Bell left tackle for 13 yards (tackle by Telvin Smith and Calais Campbell),-0.510,0.940
1,4:05,1,10,PIT 30,0,3,Le'Veon Bell left guard for no gain (tackle by Eli Ankou and Yannick Ngakoue),0.940,0.390
1,3:29,2,10,PIT 30,0,3,"Martavis Bryant right end for 13 yards (tackle by A.J. Bouye). Penalty on Antonio Brown: Offensive Holding, 10 yards",0.390,0.800
1,3:29,2,7,PIT 33,0,3,Ben Roethlisberger pass complete short left to Le'Veon Bell for 4 yards (tackle by Myles Jack),0.800,0.630
1,2:19,3,3,PIT 37,0,3,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 9 yards (tackle by A.J. Bouye),0.630,1.990
1,1:37,1,10,PIT 46,0,3,Ben Roethlisberger pass incomplete short right intended for James Conner (defended by Abry Jones),1.990,1.450
1,1:33,2,10,PIT 46,0,3,Ben Roethlisberger pass incomplete deep middle intended for Vance McDonald is intercepted by Jalen Ramsey at JAX-38 and returned for 15 yards,1.450,-2.460
1,1:24,1,10,PIT 47,0,3,Leonard Fournette middle for no gain (tackle by Stephon Tuitt),2.460,1.910
1,0:48,2,10,PIT 47,0,3,Blake Bortles pass complete short middle to Allen Hurns for 18 yards (tackle by Vince Williams and Mike Mitchell),1.910,3.640
1,0:12,1,10,PIT 29,0,3,Leonard Fournette middle for 12 yards (tackle by Mike Mitchell),3.640,4.440
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 17,0,3,Leonard Fournette left guard for 4 yards (tackle by Sean Davis and Vince Williams),4.440,4.500
2,14:24,2,6,PIT 13,0,3,Leonard Fournette right tackle for 4 yards (tackle by Cameron Heyward and Mike Mitchell),4.500,4.570
2,13:42,3,2,PIT 9,0,3,Leonard Fournette middle for 5 yards (tackle by Vince Williams),4.570,6.280
2,13:00,1,4,PIT 4,0,3,Chris Ivory middle for 2 yards (tackle by Ryan Shazier),6.280,5.720
2,12:23,2,2,PIT 2,6,3,"Leonard Fournette middle for 2 yards, touchdown. Penalty on Bud Dupree: Defensive Offside (Declined)",5.720,7.000
2,12:19,,,PIT 15,7,3,Jason Myers kicks extra point good,0.000,0.000
2,12:19,,,JAX 35,7,3,"Jason Myers kicks off 56 yards, returned by JuJu Smith-Schuster for 9 yards (tackle by Barry Church)",0.000,-0.040
2,12:12,1,10,PIT 18,7,3,Ben Roethlisberger pass complete short right to Antonio Brown for 15 yards (tackle by Jalen Ramsey and Myles Jack),0.040,1.140
2,11:31,1,10,PIT 33,7,3,Le'Veon Bell left guard for 2 yards (tackle by Telvin Smith),1.140,0.860
2,10:55,2,8,PIT 35,7,3,Le'Veon Bell middle for 1 yard (tackle by Peyton Thompson and Telvin Smith),0.860,0.300
2,10:09,3,7,PIT 36,7,3,Ben Roethlisberger pass complete short middle to Martavis Bryant for 2 yards (tackle by Aaron Colvin),0.300,-0.850
2,9:31,4,5,PIT 38,7,3,"Jordan Berry punts 54 yards, fair catch by Max McCaffrey",-0.850,0.380
2,9:27,1,10,JAX 8,7,3,"Penalty on Cam Robinson: False Start, 4 yards (no play)",-0.380,-0.530
2,9:27,1,14,JAX 4,7,3,Leonard Fournette left tackle for 2 yards (tackle by Javon Hargrave),-0.530,-0.930
2,8:50,2,12,JAX 6,7,3,Leonard Fournette left guard for 3 yards (tackle by Vince Williams),-0.930,-1.300
2,8:07,3,9,JAX 9,7,3,Blake Bortles left guard for 9 yards (tackle by Ryan Shazier),-1.300,0.040
2,7:23,1,10,JAX 18,7,3,Leonard Fournette left guard for -2 yards (tackle by T.J. Watt),0.040,-0.800
2,6:44,2,12,JAX 16,7,3,Blake Bortles pass complete short left to Marcedes Lewis for 14 yards (tackle by Cameron Heyward and Sean Davis),-0.800,0.940
2,5:55,1,10,JAX 30,7,3,Blake Bortles pass complete short left to Max McCaffrey for 4 yards (tackle by Javon Hargrave and Mike Mitchell),0.940,0.930
2,5:19,2,6,JAX 34,7,3,Leonard Fournette right guard for 2 yards (tackle by J.J. Wilcox and Javon Hargrave),0.930,0.500
2,4:40,3,4,JAX 36,7,3,Blake Bortles pass complete short left to Keelan Cole for 4 yards (tackle by Artie Burns),0.500,1.600
,,,,,,,"PIT challenged the first down ruling, and the play was upheld.",,
2,4:10,1,10,JAX 40,7,3,Blake Bortles pass incomplete short right intended for Corey Grant,1.600,1.050
2,4:07,2,10,JAX 40,7,3,Blake Bortles pass complete short left to Marqise Lee for 18 yards (tackle by Mike Mitchell and T.J. Watt),1.050,2.790
2,3:26,1,10,PIT 42,7,3,Blake Bortles sacked by Vince Williams for -10 yards,2.790,0.890
2,2:44,2,20,JAX 48,7,3,Chris Ivory middle for 1 yard (tackle by Sean Davis),0.890,0.000
2,2:20,,,,,,Timeout #2 by Pittsburgh Steelers,0.000,-0.370
2,2:20,3,19,JAX 49,7,3,Chris Ivory left tackle for 8 yards (tackle by William Gay and Ryan Shazier),0.370,0.400
2,2:00,4,11,PIT 43,7,3,"Brad Nortman punts 38 yards, out of bounds",0.400,0.380
2,1:51,1,10,PIT 5,7,3,Ben Roethlisberger pass incomplete deep left intended for Martavis Bryant,-0.380,-0.780
2,1:45,2,10,PIT 5,7,3,Le'Veon Bell middle for no gain (tackle by Calais Campbell and Telvin Smith),-0.780,0.000
2,1:40,,,,,,Timeout #1 by Jacksonville Jaguars,0.000,1.420
