Unnamed: 0,JAX,PIT
First Downs,15,21
Rush-Yds-TDs,37-231-2,20-70-0
Cmp-Att-Yd-TD-INT,8-14-95-0-1,33-55-312-0-5
Sacked-Yards,2-13,2-11
Net Pass Yards,82,301
Total Yards,313,371
Fumbles-Lost,0-0,0-0
Turnovers,1,5
Penalties-Yards,4-19,5-37
Third Down Conv.,6-12,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,28:52,31:08
