Quarter,Time,Tm,Detail,SFO,TAM
1.0,6:34,Buccaneers,Mike Alstott 2 yard rush (Martin Gramatica kick),0,7
,0:17,49ers,Jeff Chandler 24 yard field goal,3,7
2.0,9:27,Buccaneers,Joe Jurevicius 20 yard pass from Brad Johnson (Martin Gramatica kick),3,14
,8:31,49ers,Jeff Chandler 40 yard field goal,6,14
,7:24,Buccaneers,Rickey Dudley 12 yard pass from Brad Johnson (Martin Gramatica kick),6,21
,0:50,Buccaneers,Mike Alstott 2 yard rush (Martin Gramatica kick),6,28
3.0,8:28,Buccaneers,Martin Gramatica 19 yard field goal,6,31
