Unnamed: 0,SFO,TAM
First Downs,14,21
Rush-Yds-TDs,13-62-0,38-121-2
Cmp-Att-Yd-TD-INT,22-41-193-0-3,16-32-217-2-1
Sacked-Yards,4-27,1-9
Net Pass Yards,166,208
Total Yards,228,329
Fumbles-Lost,4-2,2-1
Turnovers,5,2
Penalties-Yards,6-71,10-100
Third Down Conv.,3-12,10-17
Fourth Down Conv.,1-3,0-0
Time of Possession,23:14,36:46
