0,1
Officials,Officials
Referee,Gerry Austin
Umpire,Scott Dawson
Head Linesman,James Wilson
Line Judge,Byron Boston
Back Judge,Richard Reels
Side Judge,Carl Cheffers
Field Judge,Duke Carroll
