Quarter,Time,Tm,Detail,DAL,MIN
1.0,11:02,Cowboys,Billy Cundiff 27 yard field goal,3,0
2.0,11:26,Vikings,Onterrio Smith 63 yard pass from Daunte Culpepper (Morten Andersen kick),3,7
,0:30,Vikings,Marcus Robinson 3 yard pass from Daunte Culpepper (Morten Andersen kick),3,14
,0:05,Cowboys,Terry Glenn 32 yard pass from Vinny Testaverde (Billy Cundiff kick),10,14
3.0,12:25,Vikings,Randy Moss 3 yard pass from Daunte Culpepper (Morten Andersen kick),10,21
,10:36,Cowboys,ReShard Lee 7 yard rush (Billy Cundiff kick),17,21
,6:01,Vikings,Randy Moss 1 yard pass from Daunte Culpepper (Morten Andersen kick),17,28
4.0,6:56,Vikings,Kelly Campbell 43 yard pass from Daunte Culpepper (Morten Andersen kick),17,35
