Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Morten Andersen kicks off 68 yards, returned by Jacques Reeves for 22 yards (tackle by Willie Offord)",0.000,0.540
1,14:54,1,10,DAL 24,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 11 yards (tackle by Antoine Winfield),0.540,1.270
1,14:28,1,10,DAL 35,0,0,Eddie George up the middle for 5 yards (tackle by Chris Claiborne),1.270,1.400
1,13:50,2,5,DAL 40,0,0,Eddie George left guard for 5 yards (tackle by Brian Williams),1.400,1.930
1,13:11,1,10,DAL 45,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 19 yards (tackle by Brian Russell). Penalty on Chris Hovan: Defensive Offside (Declined),1.930,3.180
1,12:41,1,10,MIN 36,0,0,Vinny Testaverde pass complete to Antonio Bryant for 28 yards (tackle by Brian Russell),3.180,5.370
1,11:56,1,8,MIN 8,0,0,"Vinny Testaverde for no gain. Vinny Testaverde fumbles, recovered by Darian Barnes at MIN-9",5.370,4.380
1,11:16,2,9,MIN 9,0,0,Vinny Testaverde pass incomplete intended for Keyshawn Johnson,4.380,3.360
1,11:08,3,9,MIN 9,0,0,Vinny Testaverde pass incomplete intended for Richie Anderson (defended by Lance Johnstone),3.360,2.830
1,11:05,4,9,MIN 9,3,0,Billy Cundiff 27 yard field goal good,2.830,3.000
1,,,,DAL 30,3,0,"Billy Cundiff kicks off 53 yards, returned by Onterrio Smith for 12 yards (tackle by Randal Williams)",0.000,0.870
1,10:57,1,10,MIN 29,3,0,Daunte Culpepper pass incomplete intended for Jim Kleinsasser,0.870,0.330
1,10:54,2,10,MIN 29,3,0,Daunte Culpepper pass incomplete intended for Randy Moss (defended by La'Roi Glover),0.330,-0.360
1,10:51,3,10,MIN 29,3,0,Daunte Culpepper pass complete to Marcus Robinson for 14 yards (tackle by Randal Williams),-0.360,1.800
1,10:14,1,10,MIN 43,3,0,Onterrio Smith left guard for 4 yards (tackle by Chad Eaton and Flozell Adams),1.800,1.790
1,9:35,2,6,MIN 47,3,0,Onterrio Smith up the middle for 1 yard (tackle by Marcellus Wiley),1.790,1.220
1,8:52,3,5,MIN 48,3,0,Daunte Culpepper pass complete to Nate Burleson for 4 yards (tackle by Jacques Reeves),1.220,0.070
1,8:15,4,1,DAL 48,3,0,"Darren Bennett punts 29 yards, fair catch by Dedric Ward",0.070,-0.150
1,8:09,1,10,DAL 19,3,0,Eddie George up the middle for -1 yards (tackle by Dontarrious Thomas),0.150,-0.560
1,7:32,2,11,DAL 18,3,0,Vinny Testaverde pass incomplete intended for Keyshawn Johnson,-0.560,-1.250
1,7:28,3,11,DAL 18,3,0,Vinny Testaverde pass complete to Antonio Bryant for 12 yards (tackle by Rushen Jones),-1.250,0.940
1,6:46,1,10,DAL 30,3,0,Eddie George left guard for 3 yards (tackle by Kenechi Udeze),0.940,0.800
1,6:01,2,7,DAL 33,3,0,Richie Anderson right end for no gain (tackle by Corey Chavous),0.800,0.100
1,5:22,3,7,DAL 33,3,0,Vinny Testaverde pass complete to Antonio Bryant for 22 yards (tackle by Corey Chavous),0.100,2.590
1,4:38,1,10,MIN 45,3,0,Vinny Testaverde pass incomplete intended for Jason Witten (defended by Antoine Winfield),2.590,2.040
1,4:32,2,10,MIN 45,3,0,Eddie George left end for 5 yards (tackle by Dontarrious Thomas and Brian Williams),2.040,2.010
1,3:48,3,5,MIN 40,3,0,Richie Anderson right end for 4 yards (tackle by Brian Russell and E.J. Henderson),2.010,0.890
1,3:00,4,1,MIN 36,3,0,Darian Barnes up the middle for 1 yard,0.890,3.250
1,2:29,1,10,MIN 35,3,0,Vinny Testaverde pass incomplete intended for Jason Witten,3.250,2.700
1,2:25,2,10,MIN 35,3,0,Vinny Testaverde pass incomplete intended for Jason Witten,2.700,2.010
1,2:20,3,10,MIN 35,3,0,"Vinny Testaverde pass incomplete intended for Terry Glenn. Penalty on Rushen Jones: Illegal Use of Hands, 5 yards (no play)",2.010,3.580
1,2:15,1,10,MIN 30,3,0,Eddie George up the middle for 4 yards (tackle by Dontarrious Thomas and Kenechi Udeze),3.580,3.570
1,1:33,2,6,MIN 26,3,0,Richie Anderson left guard for 6 yards (tackle by Brian Russell),3.570,4.240
1,0:53,1,10,MIN 20,3,0,"Vinny Testaverde pass complete to Antonio Bryant for 12 yards (tackle by Corey Chavous). Penalty on Torrin Tucker: Unnecessary Roughness, 15 yards",4.240,4.040
1,0:30,1,10,MIN 23,3,0,Vinny Testaverde pass complete to Keyshawn Johnson for 12 yards,4.040,4.840
Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 11,3,0,Vinny Testaverde pass complete to Richie Anderson for 1 yard (tackle by Antoine Winfield),4.840,4.320
2,14:29,2,9,MIN 10,3,0,Eddie George left end for 1 yard (tackle by E.J. Henderson),4.320,3.530
2,13:47,3,8,MIN 9,3,0,Vinny Testaverde pass complete to Jason Witten for 3 yards (tackle by Antoine Winfield),3.530,2.990
2,13:47,4,5,MIN 6,3,0,"Mat McBriar pass incomplete. Mat McBriar fumbles, recovered by Mat McBriar at MIN-24. Penalty on Mat McBriar: Intentional Grounding, 22 yards",2.990,-0.810
2,12:58,1,10,MIN 28,3,0,Daunte Culpepper for 3 yards (tackle by Dexter Coakley),0.810,0.670
2,12:24,2,7,MIN 31,3,0,Daunte Culpepper pass complete to Jim Kleinsasser for 6 yards (tackle by Dat Nguyen),0.670,0.760
2,11:36,,,,3,0,Timeout #1 by Minnesota Vikings,0.000,0.760
2,11:36,3,1,MIN 37,3,6,"Daunte Culpepper pass complete to Onterrio Smith for 63 yards, touchdown",0.760,7.000
2,,,,DAL 2,3,7,Morten Andersen kicks extra point good,0.000,0.000
2,,,,MIN 30,3,7,"Morten Andersen kicks off 64 yards, returned by ReShard Lee for 20 yards (tackle by Larry Ned)",0.000,0.670
2,11:20,1,10,DAL 26,3,7,Vinny Testaverde pass incomplete,0.670,0.130
2,11:16,2,10,DAL 26,3,7,Vinny Testaverde pass complete to Keyshawn Johnson for 9 yards (tackle by Antoine Winfield),0.130,0.630
2,10:57,3,1,DAL 35,3,7,Eddie George left guard for 3 yards (tackle by Dontarrious Thomas and Kevin Williams),0.630,1.470
2,10:13,1,10,DAL 38,3,7,Vinny Testaverde pass incomplete intended for Terry Glenn,1.470,0.920
2,10:09,2,10,DAL 38,3,7,Vinny Testaverde pass incomplete intended for Richie Anderson,0.920,0.230
2,10:05,3,10,DAL 38,3,7,Vinny Testaverde pass complete to Richie Anderson for 8 yards,0.230,-0.320
2,9:42,4,2,DAL 46,3,7,"Mat McBriar punts 40 yards, returned by Mewelde Moore for 1 yard (tackle by Jacques Reeves)",-0.320,0.220
