Unnamed: 0,DAL,MIN
First Downs,27,23
Rush-Yds-TDs,21-71-1,28-136-0
Cmp-Att-Yd-TD-INT,29-51-355-1-0,18-24-279-5-0
Sacked-Yards,1-3,2-0
Net Pass Yards,352,279
Total Yards,423,415
Fumbles-Lost,4-2,1-0
Turnovers,2,0
Penalties-Yards,9-119,5-40
Third Down Conv.,8-15,5-8
Fourth Down Conv.,1-2,0-0
Time of Possession,29:44,30:16
