Unnamed: 0,SEA,TAM
First Downs,19,26
Rush-Yds-TDs,14-39-0,44-161-1
Cmp-Att-Yd-TD-INT,23-33-275-2-0,22-30-258-2-2
Sacked-Yards,3-31,0-0
Net Pass Yards,244,258
Total Yards,283,419
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,6-46,4-40
Third Down Conv.,1-9,10-15
Fourth Down Conv.,2-2,0-0
Time of Possession,23:05,36:55
