Quarter,Time,Down,ToGo,Location,NYG,MIA,Detail,EPB,EPA
1,5:09,1,10,MIA 18,0,0,Brandon Jacobs left tackle for 14 yards (tackle by Cameron Worrell),4.370,6.280
1,4:28,1,4,MIA 4,0,0,Brandon Jacobs right guard for 1 yard (tackle by Steve Fifita),6.280,5.530
1,3:47,2,3,MIA 3,0,0,Eli Manning pass incomplete short middle intended for Amani Toomer,5.530,4.720
1,3:42,3,3,MIA 3,0,0,Eli Manning pass incomplete short left intended for Madison Hedgecock,4.720,3.040
1,3:36,4,3,MIA 3,3,0,Lawrence Tynes 20 yard field goal good,3.040,3.000
1,,,,NYG 30,3,0,"Lawrence Tynes kicks off 71 yards, returned by Ted Ginn Jr. for 24 yards (tackle by David Tyree)",0.000,0.480
1,3:27,1,10,MIA 23,3,0,Jesse Chatman right tackle for 1 yard (tackle by Mathias Kiwanuka),0.480,0.070
1,2:51,2,9,MIA 24,3,0,Cleo Lemon pass incomplete short right intended for Marty Booker,0.070,-0.630
1,2:44,3,9,MIA 24,3,0,Cleo Lemon pass complete to Derek Hagan for 12 yards (tackle by Sam Madison),-0.630,1.330
1,2:10,1,10,MIA 36,3,0,Jesse Chatman left guard for 4 yards (tackle by Gibril Wilson),1.330,1.330
1,1:32,2,6,MIA 40,3,0,Jesse Chatman up the middle for 5 yards (tackle by Gibril Wilson),1.330,1.290
1,0:55,3,1,MIA 45,3,0,"Marty Booker for no gain. Marty Booker fumbles, recovered by Gibril Wilson at MIA-48 (tackle by Justin Peelle)",1.290,-2.390
1,0:47,1,10,MIA 48,3,0,Eli Manning pass incomplete deep middle intended for Plaxico Burress (defended by Will Allen),2.390,1.850
1,0:39,2,10,MIA 48,3,0,(tackle by Channing Crowder),1.850,1.950
Quarter,Time,Down,ToGo,Location,NYG,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,MIA 42,3,0,Eli Manning pass complete short middle to Jeremy Shockey for -5 yards (tackle by Will Allen),1.950,0.130
2,14:21,4,9,MIA 47,3,0,"Jeff Feagles punts 42 yards, out of bounds. Penalty on NYG: Illegal Formation, 5 yards (no play)",0.130,-0.190
2,14:21,4,14,NYG 48,3,0,Jeff Feagles punts 38 yards,-0.190,0.280
2,14:03,1,10,MIA 14,3,0,Jesse Chatman left tackle for 10 yards (tackle by Antonio Pierce),-0.280,0.540
2,13:18,1,10,MIA 24,3,0,Cleo Lemon pass complete short right to Marty Booker for 8 yards (tackle by Aaron Ross),0.540,1.080
2,12:38,2,2,MIA 32,3,0,Jesse Chatman left guard for no gain (tackle by Michael Strahan and Justin Tuck),1.080,0.370
2,11:53,3,2,MIA 32,3,0,Cleo Lemon pass complete short right to Aaron Halterman for 7 yards (tackle by Sam Madison),0.370,1.530
2,11:11,1,10,MIA 39,3,0,Cleo Lemon pass incomplete short middle intended for Jesse Chatman (defended by Russell Davis),1.530,0.990
2,10:34,2,10,MIA 39,3,0,"Jesse Chatman right end for no gain (tackle by Aaron Ross). Penalty on L.J. Shelton: Offensive Holding, 10 yards (no play)",0.990,-0.360
2,10:34,2,20,MIA 29,3,0,Jesse Chatman right tackle for 2 yards (tackle by Gibril Wilson),-0.360,-0.760
2,9:49,3,18,MIA 31,3,0,Cleo Lemon for 5 yards (tackle by Antonio Pierce),-0.760,-0.980
2,9:18,4,13,MIA 36,3,0,"Brandon Fields punts 39 yards, muffed catch by R.W. McQuarters, recovered by R.W. McQuarters and returned for 6 yards (tackle by Jesse Chatman)",-0.980,-1.000
2,9:06,1,10,NYG 31,3,0,Brandon Jacobs right tackle for 5 yards (tackle by Cameron Worrell),1.000,1.140
2,8:31,2,5,NYG 36,3,0,Brandon Jacobs right guard for 4 yards (tackle by Cameron Worrell),1.140,0.960
2,7:54,3,1,NYG 40,3,0,Reuben Droughns right tackle for 2 yards (tackle by Will Allen),0.960,1.730
2,7:16,1,10,NYG 42,3,0,Eli Manning pass complete short left to Brandon Jacobs for 6 yards (tackle by Channing Crowder),1.730,2.000
2,6:34,2,4,NYG 48,3,0,Eli Manning pass incomplete short left intended for Plaxico Burress,2.000,1.290
2,6:29,3,4,NYG 48,3,0,Brandon Jacobs right tackle for 3 yards (tackle by Cameron Worrell),1.290,0.000
2,5:52,4,1,MIA 49,3,0,Reuben Droughns left tackle for 2 yards (tackle by Rodrique Wright),0.000,2.460
2,5:09,1,10,MIA 47,3,0,Brandon Jacobs left tackle for 15 yards (tackle by Jason Allen),2.460,3.450
2,4:42,1,10,MIA 32,3,0,Brandon Jacobs right tackle for 6 yards (tackle by Channing Crowder),3.450,3.710
2,4:03,2,4,MIA 26,3,0,Reuben Droughns left guard for 5 yards (tackle by Derrick Pope),3.710,4.170
2,3:17,1,10,MIA 21,3,0,Reuben Droughns right tackle for 6 yards (tackle by Donnie Spragan),4.170,4.550
2,2:39,2,4,MIA 15,3,0,Reuben Droughns left guard for no gain (tackle by Keith Traylor),4.550,3.810
2,2:00,3,4,MIA 15,3,0,Eli Manning pass complete short right to Plaxico Burress for 5 yards (tackle by Will Allen),3.810,4.910
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,1:09,,,,3,0,Timeout #1 by New York Giants,0.000,4.910
2,1:09,1,10,MIA 10,9,0,"Eli Manning left end for 10 yards, touchdown",4.910,7.000
2,,,,MIA 2,10,0,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,10,0,"Lawrence Tynes kicks off 57 yards, returned by Ted Ginn Jr. for 23 yards (tackle by Craig Dahl)",0.000,1.330
2,0:50,1,10,MIA 36,10,0,Cleo Lemon pass complete short right to Jesse Chatman for 3 yards (tackle by Kevin Dockery),1.330,1.200
2,0:41,,,,10,0,Timeout #1 by Miami Dolphins,0.000,1.200
2,0:41,2,7,MIA 39,10,0,Cleo Lemon pass complete short left to Jesse Chatman for 9 yards (tackle by Osi Umenyiora),1.200,2.130
2,0:32,,,,10,0,Timeout #2 by Miami Dolphins,0.000,2.130
2,0:32,1,10,MIA 48,10,0,"Cleo Lemon for -10 yards. Cleo Lemon fumbles, recovered by Michael Strahan at MIA-38 and returned for 4 yards (tackle by Cleo Lemon)",2.130,-3.310
2,0:26,1,10,MIA 34,10,0,Eli Manning pass incomplete short left intended for Amani Toomer,3.310,2.770
2,0:19,2,10,MIA 34,10,0,Eli Manning pass incomplete short left intended for Amani Toomer (defended by Will Allen),2.770,2.080
2,0:14,3,10,MIA 34,10,0,Brandon Jacobs left guard for 11 yards (tackle by Michael Lehan and Channing Crowder),2.080,4.040
2,0:07,,,,10,0,Timeout #2 by New York Giants,0.000,4.040
2,0:07,1,10,MIA 23,13,0,Lawrence Tynes 41 yard field goal good,4.040,3.000
2,,,,NYG 30,13,0,"Lawrence Tynes kicks off 31 yards, returned by Patrick Cobbs for 9 yards (tackle by Craig Dahl)",0.000,0.940
Quarter,Time,Down,ToGo,Location,NYG,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,13,0,"Jay Feely kicks off 65 yards, returned by Ahmad Bradshaw for 35 yards (tackle by Rob Ninkovich)",0.000,1.600
3,14:53,1,10,NYG 40,13,0,Eli Manning pass incomplete short left intended for Brandon Jacobs,1.600,1.050
3,14:48,2,10,NYG 40,13,0,Eli Manning pass incomplete short right intended for Jeremy Shockey (defended by Will Allen),1.050,0.370
3,14:44,3,10,NYG 40,13,0,Eli Manning pass incomplete short middle intended for Amani Toomer (defended by Matt Roth),0.370,-0.720
3,14:39,4,10,NYG 40,13,0,"Jeff Feagles punts 43 yards, fair catch by Ted Ginn Jr.",-0.720,0.060
3,14:32,1,10,MIA 17,13,0,Jesse Chatman right guard for 6 yards (tackle by Michael Johnson),-0.060,0.350
3,13:48,2,4,MIA 23,13,0,Cleo Lemon pass complete short left to Justin Peelle for 8 yards (tackle by Mathias Kiwanuka),0.350,1.000
3,13:06,1,10,MIA 31,13,0,Cleo Lemon pass complete short right to Marty Booker for 13 yards (tackle by Aaron Ross),1.000,1.860
3,12:34,1,10,MIA 44,13,0,Cleo Lemon pass incomplete deep right intended for Ted Ginn Jr.,1.860,1.320
3,12:26,2,10,MIA 44,13,0,"Jesse Chatman right end for 10 yards (tackle by Gibril Wilson). Penalty on Derek Hagan: Offensive Holding, 10 yards",1.320,1.320
3,12:01,2,10,MIA 44,13,0,"Cleo Lemon pass complete short right to Aaron Halterman for no gain. Penalty on MIA: Illegal Formation, 5 yards (no play)",1.320,0.640
3,11:30,2,15,MIA 39,13,0,Cleo Lemon pass incomplete short middle intended for Patrick Cobbs,0.640,-0.030
3,11:24,3,15,MIA 39,13,0,"Penalty on Samson Satele: False Start, 5 yards (no play)",-0.030,-0.690
3,11:23,3,20,MIA 34,13,0,Cleo Lemon pass incomplete deep right intended for Derek Hagan. Penalty on Rex Hadnot: Ineligible Downfield Pass (Declined),-0.690,-1.110
3,11:14,4,20,MIA 34,13,0,Brandon Fields punts 31 yards,-1.110,-1.270
3,11:03,1,10,NYG 35,13,0,"Brandon Jacobs left guard for 10 yards (tackle by Jason Allen). Brandon Jacobs fumbles (forced by Jason Allen), recovered by Rich Seubert at MIA-48",1.270,2.390
3,10:16,1,10,MIA 48,13,0,Brandon Jacobs left end for no gain (tackle by Cameron Worrell),2.390,1.850
3,9:42,2,10,MIA 48,13,0,"Eli Manning pass incomplete intended for Jeremy Shockey is intercepted by Jason Allen at MIA-35. Penalty on Jason Taylor: Defensive Holding, 5 yards (no play)",1.850,2.720
3,9:31,1,10,MIA 43,13,0,Reuben Droughns right tackle for 1 yard (tackle by Channing Crowder),2.720,2.310
3,8:50,2,9,MIA 42,13,0,Reuben Droughns right end for 3 yards (tackle by Joey Porter),2.310,2.010
3,8:05,3,6,MIA 39,13,0,Eli Manning pass incomplete short right intended for Plaxico Burress (defended by Andre' Goodman),2.010,0.660
3,8:00,4,6,MIA 39,13,0,"Jeff Feagles punts 39 yards, touchback",0.660,-0.280
3,7:51,1,10,MIA 20,13,0,Jesse Chatman right tackle for -1 yards (tackle by Michael Johnson),0.280,-0.460
3,7:08,2,11,MIA 19,13,0,Cleo Lemon pass incomplete intended for Justin Peelle,-0.460,-1.140
3,7:06,3,11,MIA 19,13,0,Cleo Lemon pass incomplete deep right intended for Derek Hagan,-1.140,-2.140
3,6:59,4,11,MIA 19,13,0,"Brandon Fields punts 52 yards, returned by R.W. McQuarters for 21 yards (tackle by John Denney)",-2.140,-2.260
3,6:45,1,10,,13,0,Brandon Jacobs left tackle for 3 yards (tackle by Matt Roth),2.260,2.120
3,6:10,2,7,MIA 47,13,0,Brandon Jacobs left tackle for 8 yards (tackle by Jason Allen),2.120,2.980
3,5:29,1,10,MIA 39,13,0,Eli Manning pass incomplete short left intended for Plaxico Burress,2.980,2.440
3,5:25,2,10,MIA 39,13,0,"Eli Manning sacked by Matt Roth for -7 yards. Eli Manning fumbles (forced by Matt Roth), recovered by Jason Taylor at MIA-49 (tackle by David Diehl)",2.440,-2.190
3,5:16,1,10,MIA 49,13,0,Cleo Lemon right end for 7 yards (tackle by Fred Robbins),2.190,2.590
3,4:42,2,3,NYG 44,13,0,Jesse Chatman right tackle for 22 yards (tackle by Osi Umenyiora),2.590,4.110
3,3:51,1,10,NYG 22,13,0,Patrick Cobbs left guard for 6 yards (tackle by Antonio Pierce),4.110,4.460
3,3:08,2,4,NYG 16,13,0,"Patrick Cobbs up the middle for 5 yards (tackle by Sam Madison). Penalty on Barry Cofield: Personal Foul, 5 yards",4.460,5.830
3,2:38,1,6,NYG 6,13,0,Jesse Chatman up the middle for 4 yards (tackle by Russell Davis),5.830,5.720
3,1:55,2,2,NYG 2,13,0,Cleo Lemon sacked by Kawika Mitchell for -9 yards,5.720,3.120
3,1:13,3,11,NYG 11,13,0,Cleo Lemon pass incomplete short right intended for Derek Hagan (defended by Sam Madison),3.120,2.700
3,1:07,4,11,NYG 11,13,3,Jay Feely 29 yard field goal good,2.700,3.000
3,,,,MIA 30,13,3,"Jay Feely kicks off 66 yards, returned by Reuben Droughns for 31 yards (tackle by Greg Camarillo)",0.000,1.270
3,0:56,1,10,NYG 35,13,3,Eli Manning for 18 yards (tackle by Michael Lehan),1.270,2.460
3,0:20,1,10,MIA 47,13,3,Brandon Jacobs right tackle for 7 yards (tackle by Jason Allen),2.460,2.860
Quarter,Time,Down,ToGo,Location,NYG,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,MIA 40,13,3,Brandon Jacobs left end for 3 yards (tackle by Matt Roth),2.860,3.120
4,14:20,1,10,MIA 37,13,3,Brandon Jacobs left tackle for 3 yards (tackle by Derrick Pope),3.120,2.980
4,13:43,2,7,MIA 34,13,3,Eli Manning pass complete short left to Jeremy Shockey for 21 yards (tackle by Derrick Pope),2.980,4.710
4,13:09,1,10,MIA 13,13,3,Brandon Jacobs right tackle for 2 yards (tackle by Keith Traylor),4.710,4.390
4,12:26,2,8,MIA 11,13,3,Eli Manning pass incomplete short middle intended for Amani Toomer (defended by Joey Porter),4.390,3.450
4,12:22,3,8,MIA 11,13,3,Eli Manning pass complete short middle to Brandon Jacobs for no gain,3.450,2.700
4,11:48,4,8,MIA 11,13,3,Lawrence Tynes 29 yard field goal no good,2.700,-0.280
4,11:43,1,10,MIA 20,13,3,Jesse Chatman right end for 1 yard (tackle by Kawika Mitchell),0.280,-0.130
4,11:01,2,9,MIA 21,13,3,Cleo Lemon pass complete short left to Justin Peelle for 6 yards (tackle by Gibril Wilson),-0.130,-0.030
4,10:27,3,3,MIA 27,13,3,Cleo Lemon sacked by Fred Robbins for -11 yards,-0.030,-2.390
4,9:56,4,14,MIA 16,13,3,"Brandon Fields punts 51 yards, returned by R.W. McQuarters for 8 yards (tackle by Derrick Pope)",-2.390,-1.660
4,9:44,1,10,NYG 41,13,3,Brandon Jacobs left tackle for 8 yards (tackle by Michael Lehan),1.660,2.200
4,9:02,2,2,NYG 49,13,3,Brandon Jacobs left tackle for 3 yards (tackle by Joey Porter),2.200,2.390
4,8:20,1,10,MIA 48,13,3,Brandon Jacobs left tackle for 14 yards (tackle by Jason Allen),2.390,3.310
4,7:34,1,10,MIA 34,13,3,"Reuben Droughns left end for 10 yards (tackle by Jason Allen). Penalty on Madison Hedgecock: Offensive Holding, 10 yards (no play)",3.310,2.650
4,6:59,1,20,MIA 44,13,3,"Reuben Droughns right guard for 8 yards (tackle by Will Allen). Penalty on Amani Toomer: Offensive Holding, 10 yards",2.650,2.520
4,6:31,1,22,MIA 46,13,3,Eli Manning pass incomplete deep middle intended for Plaxico Burress,2.520,1.150
4,6:27,2,22,MIA 46,13,3,"Reuben Droughns up the middle for no gain (tackle by Rodrique Wright). Penalty on Amani Toomer: Illegal Block Above the Waist, 10 yards (no play)",1.150,-0.200
4,6:07,2,32,NYG 44,13,3,"Penalty on NYG: Illegal Substitution, 5 yards (no play)",-0.200,-0.880
4,5:46,2,37,NYG 39,13,3,Brandon Jacobs right guard for 4 yards (tackle by Matt Roth),-0.880,-0.960
4,5:04,3,33,NYG 43,13,3,Eli Manning pass complete short right to Jeremy Shockey for 10 yards (tackle by Will Allen),-0.960,0.130
4,4:14,4,23,MIA 47,13,3,"Jeff Feagles punts 47 yards, touchback",0.130,-0.280
4,4:05,1,10,MIA 20,13,3,Cleo Lemon pass complete short right to Justin Peelle for 9 yards (tackle by Corey Webster),0.280,0.950
4,3:39,2,1,MIA 29,13,3,Cleo Lemon up the middle for 3 yards (tackle by Michael Strahan),0.950,1.070
4,3:35,,,,13,3,Timeout #1 by Miami Dolphins,0.000,1.070
4,3:31,1,10,MIA 32,13,3,Cleo Lemon pass incomplete short right intended for Jesse Chatman,1.070,0.530
4,3:31,2,10,MIA 32,13,3,Cleo Lemon pass complete short middle to Derek Hagan for 15 yards (tackle by Sam Madison),0.530,2.060
4,3:20,,,,13,3,Timeout #2 by Miami Dolphins,0.000,2.060
4,3:20,1,10,MIA 47,13,3,Cleo Lemon pass incomplete deep left intended for Derek Hagan,2.060,1.520
4,3:12,2,10,MIA 47,13,3,Cleo Lemon pass complete short left to Justin Peelle for 5 yards (tackle by R.W. McQuarters),1.520,1.490
4,2:41,3,5,NYG 48,13,3,Cleo Lemon pass complete short right to Jesse Chatman for 9 yards (tackle by Corey Webster),1.490,2.980
4,2:27,,,,13,3,Timeout #3 by Miami Dolphins,0.000,2.980
4,2:27,1,10,NYG 39,13,3,Cleo Lemon pass incomplete short right intended for Derek Hagan (defended by Mathias Kiwanuka),2.980,2.440
4,2:23,2,10,NYG 39,13,3,"Cleo Lemon pass complete short middle to Marty Booker for 10 yards (tackle by Sam Madison). Penalty on Antonio Pierce: Unnecessary Roughness, 15 yards",2.440,4.650
4,2:14,1,10,NYG 14,13,3,"Cleo Lemon pass incomplete. Penalty on Cleo Lemon: Intentional Grounding, 11 yards",4.650,2.610
4,2:09,2,21,NYG 25,13,3,Cleo Lemon pass complete short left to Justin Peelle for 4 yards (tackle by Sam Madison),2.610,2.480
4,2:00,3,17,NYG 21,13,9,"Cleo Lemon pass complete deep middle to Ted Ginn Jr. for 21 yards, touchdown",2.480,7.000
4,,,,NYG 2,13,10,Jay Feely kicks extra point good,0.000,0.000
4,,,,MIA 30,13,10,Jay Feely kicks onside 8 yards,0.000,3.050
4,1:54,1,10,MIA 38,13,10,Eli Manning kneels for -1 yards,3.050,2.370
4,1:09,2,11,MIA 39,13,10,Eli Manning kneels for -1 yards,2.370,1.550
4,0:30,3,12,MIA 40,13,10,Eli Manning kneels for -1 yards,1.550,0.530
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
