Quarter,Time,Tm,Detail,NYG,MIA
1.0,3:33,Giants,Lawrence Tynes 20 yard field goal,3,0
2.0,0:59,Giants,Eli Manning 10 yard rush (Lawrence Tynes kick),10,0
,0:02,Giants,Lawrence Tynes 41 yard field goal,13,0
3.0,1:04,Dolphins,Jay Feely 29 yard field goal,13,3
4.0,1:54,Dolphins,Ted Ginn Jr. 21 yard pass from Cleo Lemon (Jay Feely kick),13,10
