Unnamed: 0,HOU,IND
First Downs,18,33
Rush-Yds-TDs,19-66-0,31-120-2
Cmp-Att-Yd-TD-INT,22-36-233-2-3,31-40-340-3-0
Sacked-Yards,0-0,1-2
Net Pass Yards,233,338
Total Yards,299,458
Fumbles-Lost,0-0,1-1
Turnovers,3,1
Penalties-Yards,6-55,5-40
Third Down Conv.,3-8,6-11
Fourth Down Conv.,1-1,1-1
Time of Possession,24:15,35:45
