Unnamed: 0,TAM,PIT
First Downs,16,13
Rush-Yds-TDs,30-110-0,31-76-0
Cmp-Att-Yd-TD-INT,20-34-175-0-3,12-25-198-2-1
Sacked-Yards,5-31,1-7
Net Pass Yards,144,191
Total Yards,254,267
Fumbles-Lost,2-1,1-0
Turnovers,4,1
Penalties-Yards,5-40,2-15
Third Down Conv.,7-14,5-14
Fourth Down Conv.,0-1,0-1
Time of Possession,31:01,28:59
