Quarter,Time,Tm,Detail,LAC,MIN
1.0,2:51,Chargers,Donald Parham 3 yard pass from Justin Herbert (Cameron Dicker kick),7,0
2.0,7:27,Vikings,Josh Oliver 4 yard pass from Kirk Cousins (Greg Joseph kick),7,7
,2:08,Vikings,Greg Joseph 23 yard field goal,7,10
,0:47,Chargers,Donald Parham 1 yard pass from Justin Herbert (Cameron Dicker kick),14,10
3.0,5:53,Chargers,Mike Williams 49 yard pass from Keenan Allen (Cameron Dicker kick),21,10
,3:01,Vikings,K.J. Osborn 36 yard pass from Kirk Cousins (Greg Joseph kick),21,17
4.0,11:20,Vikings,Justin Jefferson 52 yard pass from Kirk Cousins (Greg Joseph kick),21,24
,8:05,Chargers,Josh Palmer 30 yard pass from Justin Herbert (Cameron Dicker kick),28,24
