Quarter,Time,Down,ToGo,Location,LAC,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Joshua Kelley up the middle for 2 yards (tackle by Jordan Hicks),0.610,0.330
1,14:28,2,8,LAC 27,0,0,"Joshua Kelley left end for no gain (tackle by Akayleb Evans). Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",0.330,-1.150
1,14:09,2,18,LAC 17,0,0,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Josh Metellus and Camryn Bynum),-1.150,-0.760
1,13:30,3,11,LAC 24,0,0,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by Camryn Bynum),-0.760,-1.370
1,12:55,4,5,LAC 30,0,0,JK Scott punts 27 yards downed by Tre' McKitty,-1.370,-1.800
1,12:43,1,10,MIN 43,0,0,Alexander Mattison right tackle for 2 yards (tackle by Sebastian Joseph-Day and Nick Williams),1.800,1.520
1,12:05,2,8,MIN 45,0,0,Alexander Mattison left end for 13 yards (tackle by Kenneth Murray and Derwin James),1.520,2.790
1,11:25,1,10,LAC 42,0,0,Alexander Mattison up the middle for 6 yards (tackle by Tuli Tuipulotu),2.790,3.050
1,10:42,2,4,LAC 36,0,0,Alexander Mattison up the middle for 8 yards (tackle by Derwin James and Nick Niemann),3.050,3.710
1,10:06,1,10,LAC 28,0,0,Alexander Mattison left end for 2 yards (tackle by Nick Williams),3.710,3.440
1,9:24,2,8,LAC 26,0,0,Kirk Cousins pass complete short left to Josh Oliver for no gain (tackle by Kenneth Murray),3.440,2.740
1,8:41,3,8,LAC 26,0,0,"Kirk Cousins pass complete short middle to T.J. Hockenson for 9 yards. T.J. Hockenson fumbles (forced by Alohi Gilman), recovered by Alohi Gilman at LAC-17 and returned for 4 yards (tackle by Jordan Addison)",2.740,-0.340
1,8:32,1,10,LAC 21,0,0,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by Harrison Smith),0.340,0.880
1,7:53,2,2,LAC 29,0,0,Joshua Kelley left tackle for 4 yards (tackle by Jordan Hicks and Akayleb Evans),0.880,1.140
1,7:20,1,10,LAC 33,0,0,Justin Herbert pass incomplete short left intended for Keenan Allen,1.140,0.590
1,7:16,2,10,LAC 33,0,0,Justin Herbert pass complete short right to Mike Williams for 5 yards (tackle by Jordan Hicks and Akayleb Evans),0.590,0.560
1,6:31,3,5,LAC 38,0,0,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by Byron Murphy),0.560,1.930
1,5:59,1,10,LAC 45,0,0,Justin Herbert scrambles left guard for 12 yards (tackle by Akayleb Evans),1.930,2.720
1,5:21,1,10,MIN 43,0,0,Justin Herbert pass complete short right to Josh Palmer for 3 yards (tackle by Harrison Smith and Josh Metellus),2.720,2.580
1,4:44,2,7,MIN 40,0,0,Justin Herbert pass complete short right to Gerald Everett for 9 yards (tackle by Byron Murphy),2.580,3.510
1,4:07,1,10,MIN 31,0,0,Justin Herbert pass complete short left to Quentin Johnston for 3 yards (tackle by Akayleb Evans),3.510,3.370
1,3:32,2,7,MIN 28,0,0,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by Byron Murphy),3.370,2.680
1,3:27,3,7,MIN 28,0,0,Justin Herbert pass complete deep right to Keenan Allen for 25 yards (tackle by Mekhi Blackmon),2.680,6.510
1,2:55,1,3,MIN 3,6,0,"Justin Herbert pass complete short right to Donald Parham for 3 yards, touchdown",6.510,7.000
1,2:51,,,MIN 15,7,0,Cameron Dicker kicks extra point good,0.000,0.000
1,2:51,,,LAC 35,7,0,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,2:51,1,10,MIN 25,7,0,Kirk Cousins pass complete short left to Alexander Mattison for 5 yards (tackle by Kenneth Murray),0.610,0.740
1,2:04,2,5,MIN 30,7,0,Alexander Mattison left guard for 1 yard (tackle by Sebastian Joseph-Day and Nick Williams),0.740,0.300
1,1:42,3,3,MIN 32,7,0,"Penalty on Morgan Fox: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.300,1.330
1,1:27,1,10,MIN 36,7,0,Ty Chandler left end for 12 yards (tackle by Derwin James),1.330,2.130
1,0:39,1,10,MIN 48,7,0,Kirk Cousins pass incomplete short middle intended for Ty Chandler (defended by Ja'Sir Taylor),2.130,1.580
1,0:25,2,10,MIN 48,7,0,Ty Chandler left guard for 6 yards (tackle by Kenneth Murray),1.580,1.680
1,0:10,,,,,,Timeout #1 by Los Angeles Chargers,,
1,0:10,3,4,LAC 46,7,0,Kirk Cousins sacked by Joey Bosa for -7 yards,1.680,-0.260
Quarter,Time,Down,ToGo,Location,LAC,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,MIN 47,7,0,"Ryan Wright punts 53 yards, touchback.",-0.260,-0.280
2,14:53,1,10,LAC 20,7,0,Joshua Kelley right tackle for no gain (tackle by Byron Murphy and Danielle Hunter),0.280,-0.270
2,14:21,2,10,LAC 20,7,0,Justin Herbert pass complete short middle to Mike Williams for 9 yards (tackle by Byron Murphy),-0.270,0.230
2,13:41,3,1,LAC 29,7,0,Justin Herbert pass complete short left to Gerald Everett for 2 yards (tackle by Akayleb Evans),0.230,1.000
2,13:05,1,10,LAC 31,7,0,Justin Herbert pass incomplete deep right intended for Mike Williams,1.000,0.460
2,12:59,2,10,LAC 31,7,0,Justin Herbert pass complete short right to Derius Davis for 3 yards (tackle by Josh Metellus),0.460,0.170
2,12:17,3,7,LAC 34,7,0,"Justin Herbert pass complete short left to Keenan Allen for 9 yards. Keenan Allen fumbles (forced by Akayleb Evans), recovered by Keenan Allen at LAC-43 (tackle by Akayleb Evans)",0.170,1.800
2,11:35,1,10,LAC 43,7,0,Isaiah Spiller right guard for 1 yard (tackle by Ivan Pace),1.800,1.390
2,10:59,2,9,LAC 44,7,0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Camryn Bynum),1.390,0.690
2,10:54,3,9,LAC 44,7,0,Justin Herbert pass complete short right to Gerald Everett for -2 yards (tackle by Danielle Hunter),0.690,-0.590
2,10:21,4,11,LAC 42,7,0,"JK Scott punts 33 yards, fair catch by Brandon Powell at MIN-25",-0.590,-0.610
