Unnamed: 0,LAC,MIN
First Downs,24,29
Rush-Yds-TDs,15-30-0,24-130-0
Cmp-Att-Yd-TD-INT,41-48-454-4-0,32-50-367-3-1
Sacked-Yards,1-9,4-22
Net Pass Yards,445,345
Total Yards,475,475
Fumbles-Lost,4-1,1-1
Turnovers,1,2
Penalties-Yards,12-94,6-45
Third Down Conv.,5-11,4-14
Fourth Down Conv.,1-2,2-3
Time of Possession,26:47,33:13
